realisation,edge_id,transport_model,gamma,f,chemistry_r2,objective_score,extent_halite,extent_calcite,family_evaporite_extent,family_carbonate_extent
0,SH15->INT1,mix,,0.0034681996622973597,0.9993119869953776,0.12994061602290508,0.008146774788913127,0.0,0.025326565926639517,0.005390684786201499
0,INT1->INT2,mix,,0.7872283716152212,0.9998015349531791,2.3352043831820155,0.7116078521424707,0.4484062676415155,0.7622383226045605,0.5550049351954425
0,INT2->MIX20,evap,1.189958598878625,,0.9998081809530035,0.7424712425617357,0.6024334037317355,0.0,0.7661122324366983,0.0
0,MIX20->MIX40,mix,,0.12651027562888711,0.9795806353692484,0.10220209621154905,-0.04929616615792328,0.0,0.05504983152818722,0.0
0,MIX40->MIX60,mix,,0.38009307466191333,0.9981040354471654,0.22564355923975832,0.06632794775070945,0.0,0.08647698822788649,0.0
0,MIX60->DILUTE,mix,,0.331207715697413,0.9996327390273536,0.08791701470922425,-0.009742478808289013,0.0,0.009742478808289013,0.0
0,DILUTE->DEEP,mix,,0.16667547708122774,0.9988959567434458,0.3725393195504044,0.10250988598950042,0.0,0.10250988598950042,0.0
0,DEEP->DISCH,mix,,0.23384086884432992,0.9990412105000894,0.7080428333420641,-0.1943424674654284,0.0,0.26729274033035977,0.0
1,SH15->INT1,evap,1.0629968218064638,,0.9966116687069783,0.012615037639950335,0.0,0.0,0.16255738430009006,0.0
1,INT1->INT2,mix,,0.5774218025812755,0.9999588091669372,1.8451653085881228,0.625947905545207,0.42914174863316545,0.6668591056202045,0.5463505218188879
1,INT2->MIX20,evap,1.263500495254234,,0.9988749678275683,0.10206303864600033,0.2285911540103024,0.0,0.35464296533417605,0.0
1,MIX20->MIX40,mix,,0.16356731192744814,0.9988601500415685,0.9436640245280548,-0.1112163039686063,0.0,0.5315315598067769,0.0
1,MIX40->MIX60,mix,,0.42996194138893634,0.9995523625530746,0.45383123753847765,0.16757130941054926,0.0,0.16757130941054926,0.0
1,MIX60->DILUTE,mix,,0.32264205051598516,0.9994635373737475,0.07905054992373575,-0.02499329220792289,0.0,0.02499329220792289,0.0
1,DILUTE->DEEP,mix,,0.19185299410442533,0.9980586334245599,0.2183177990248739,-0.005840327319344201,0.0,0.005840327319344201,0.0
1,DEEP->DISCH,evap,1.142974486533895,,0.9991500808695069,0.1384320975219,0.018210253305486337,0.0,0.7402286518130837,0.03504597175120149
2,SH15->INT1,mix,,0.12731123483093415,0.9981785543269435,0.0303594566669048,0.03151906036539568,0.0,0.03151906036539568,0.0
2,INT1->INT2,evap,1.2928050044919206,,0.9999555596335039,1.4536598727522625,-0.3848635654585283,0.5424234014851065,0.7132908148076206,0.6960478600987938
2,INT2->MIX20,mix,,0.044129091224520973,0.9998267358708026,2.5892597531891868,0.5085407443171586,0.5030880547973967,0.865232799491747,0.7941308284483573
2,MIX20->MIX40,mix,,0.28792323132723907,0.9979854270840346,0.2673829197206492,0.16984592646609623,0.0,0.16984592646609623,0.2024230426947858
2,MIX40->MIX60,mix,,0.44052169915252865,0.9990902699452823,0.15703856576670033,0.06415924931171067,0.0,0.06415924931171067,0.0
2,MIX60->DILUTE,mix,,0.38130164681954876,0.9985232909728302,0.5523738562014714,-0.14039770444645758,0.0,0.4573749713442834,0.04212795923436036
2,DILUTE->DEEP,mix,,0.20639810572423994,0.9990661882755904,0.33430263859626064,0.14532885485223054,0.0,0.6767552832211869,0.11747681963427388
2,DEEP->DISCH,mix,,0.1412388288791018,0.9996656986351249,0.6896856475666424,-0.25317937323319,0.0,0.25317937323319,0.0
3,SH15->INT1,evap,1.060560626479925,,0.99965111358688,0.08840772542875133,0.05808416790766382,0.0,0.05808416790766382,0.0
3,INT1->INT2,mix,,0.7375702913221086,0.9999382818544569,2.1242529256728266,0.67458151848129,0.328969892482114,0.6930579979899387,0.43730690268747796
3,INT2->MIX20,evap,1.3235123070332455,,0.9985974022495931,0.2801283906331389,0.43401871932802805,0.0,0.6857270974763079,0.0
3,MIX20->MIX40,evap,1.0,,0.999764776962472,0.4159243173428827,0.1284514765810165,0.0,0.2232308289297748,0.09478850484678597
3,MIX40->MIX60,mix,,0.41756016621685776,0.9989950089638502,0.3045127912376137,0.08364715388545801,0.0,0.08364715388545801,0.13026464524715725
3,MIX60->DILUTE,mix,,0.35748013237534226,0.9992512206995331,0.20297666425914107,0.0,0.0,0.0,0.0
3,DILUTE->DEEP,mix,,0.15769963094894143,0.9897418273637673,0.11447810129961497,0.018145271426380435,0.0,0.018145271426380435,0.030734926001048723
3,DEEP->DISCH,mix,,0.22990266083662572,0.9992164720205718,0.13895358602172891,-0.05407382178630598,0.0,0.06732881258344284,0.0
4,SH15->INT1,evap,1.110466362906316,,0.9981594999626449,0.02357930988103904,-0.03570701225755473,0.0,0.03570701225755473,0.0
4,INT1->INT2,evap,1.3592297108753575,,0.9999266161901847,1.6739724204609028,-0.5717005679836767,0.5156590153443962,0.6896784072349829,0.6595033834408299
4,INT2->MIX20,mix,,0.0,0.999681044224784,1.9463728742590216,0.6150395623087803,0.0,0.7182136429131135,0.320855052762985
4,MIX20->MIX40,mix,,0.1681148425415145,0.9990741703301055,0.49907298551963986,-0.06126265596438863,0.0,0.06126265596438863,0.0
4,MIX40->MIX60,mix,,0.43500567884830366,0.9989614622134992,0.16090557015965423,0.21827382687811644,0.0,0.39608100998028933,0.0
4,MIX60->DILUTE,mix,,0.3467810817337087,0.9983374311251768,0.2935220769578786,-0.1182421712121546,0.0,0.1182421712121546,0.003361310558581154
4,DILUTE->DEEP,evap,1.0,,0.999775042774236,0.5115752678202701,-0.29424870678182685,0.0,0.49156931804025017,0.2166761821257374
4,DEEP->DISCH,mix,,0.21212573711210375,0.9984706369316778,0.22385449584224706,-0.16903275706934945,0.0,0.254508703885318,0.0
5,SH15->INT1,evap,1.0743661919889287,,0.9973115320031899,0.03923527360525832,-0.08920452376413236,0.0,0.23020522743984384,0.0
5,INT1->INT2,evap,1.291150793545278,,0.99993627616934,1.523814738174514,-0.45773047533236333,0.42267791373843366,0.5378884503795445,0.566861652653487
5,INT2->MIX20,mix,,0.04066279264912856,0.9999722381095161,2.3706871278694637,0.5345931640275593,0.5608660267536022,0.6613148415112805,0.8850372488878896
5,MIX20->MIX40,mix,,0.2410095221975184,0.995953472856699,0.4912332764636503,-0.07936370197387926,0.0,0.07936370197387926,0.0
5,MIX40->MIX60,mix,,0.502374461445685,0.9982981981588164,0.5717509626236089,0.24204587293615615,0.0,0.24204587293615615,0.08182399647732115
5,MIX60->DILUTE,mix,,0.4158723752674011,0.9992703756511523,0.3318501401645009,-0.12226343049168623,0.0,0.12226343049168623,0.13177898477399666
5,DILUTE->DEEP,mix,,0.1617187053499683,0.9988080197964212,0.13954767045468408,0.14903684059514097,0.0,0.4419177292760652,0.0
5,DEEP->DISCH,evap,1.1318319921466158,,0.9991875980494097,0.1777025206312046,0.018368105121941296,0.0,0.09792200702454533,0.0621168195425505
6,SH15->INT1,evap,1.093528907470866,,0.9911655008053492,0.008693135377691466,-0.028270218236310894,0.0,0.13184820137029848,0.0
6,INT1->INT2,mix,,0.4428589566200957,0.999966627209509,1.4006749975911696,0.5440405000338903,0.37237665383329294,1.0857751294745066,0.5076248959176447
6,INT2->MIX20,evap,1.369349113123511,,0.9992121047600526,0.23343537200619985,-0.090850998839134,0.0,0.7285344329449186,0.0
6,MIX20->MIX40,mix,,0.15632010359082374,0.9972687334480006,0.20301167749427862,0.06567352035249012,0.0,0.32855323419020777,0.0
6,MIX40->MIX60,mix,,0.38746698410489583,0.9971523033609815,0.16657950143750655,-0.01586635586297061,0.0,0.01586635586297061,0.00185795665787934
6,MIX60->DILUTE,mix,,0.350165270452887,0.9978948469355156,0.12254384379428357,0.03336843715457168,0.0,0.03336843715457168,0.0
6,DILUTE->DEEP,mix,,0.19384321750622327,0.9883779179898057,0.19871720090670128,-0.0687124597744223,0.0,0.08531892268580511,0.0
6,DEEP->DISCH,evap,1.1878651369286692,,0.9995309199823557,0.36137716423715827,-0.10748937147824267,0.0,0.48531422397347007,0.05300207766821892
7,SH15->INT1,evap,1.0133678054696047,,0.9981469379535775,0.09662477476086512,-0.18146589668364396,0.0,0.4310071629425986,0.0
7,INT1->INT2,evap,1.3663499338494756,,0.9998265580824409,1.1676770598092436,-0.40090803385517115,0.3002975909653673,0.4990164606874934,0.43583578440759396
7,INT2->MIX20,evap,1.2504705830404432,,0.9983736769478753,0.04626220638024387,0.11715489249833132,0.0,0.12140938422486769,0.0
7,MIX20->MIX40,mix,,0.1101599823773041,0.9993096858604177,0.24522704899921055,0.12965240570903067,0.0,0.12965240570903067,0.0
7,MIX40->MIX60,mix,,0.4372435958010485,0.99939217736068,0.6603191246539849,0.08913203794372197,0.0,0.08913203794372197,0.0
7,MIX60->DILUTE,mix,,0.3560035398806068,0.9940175010812233,0.06778706765262103,-0.04264691991691726,0.0,0.04264691991691726,0.14396297558054655
7,DILUTE->DEEP,mix,,0.2177429624390671,0.9955034058035406,0.21753306500967434,0.09808449669169003,0.0,0.09808449669169003,0.0
7,DEEP->DISCH,mix,,0.20171823703770217,0.9993296747382412,0.9111873677434679,-0.15722114641406876,0.0,0.17351028944367589,0.028057721469469766
8,SH15->INT1,evap,1.064260466787075,,0.9953106942544945,0.015980852718895405,0.0,0.0,0.0,0.0
8,INT1->INT2,mix,,0.7250194826224813,0.9997777878879576,2.536687533201999,0.7496219811504098,0.3513411793760422,1.005678853100727,0.4558782012148147
8,INT2->MIX20,evap,1.2953875294844683,,0.9987045267682237,1.515413205211707,0.24529658292000547,0.0,0.3159574333918379,0.0
8,MIX20->MIX40,mix,,0.16845737454206533,0.9985950855738899,0.1894467010900532,-0.1709389321200207,0.0,0.1709389321200207,0.0
8,MIX40->MIX60,mix,,0.40766959121311563,0.9996989510377707,0.7371907833296212,0.4453462627569971,0.0,0.4453462627569971,0.0
8,MIX60->DILUTE,mix,,0.3794938533316405,0.9944752270247778,0.38180267682831914,-0.027995600963492386,0.0,0.027995600963492386,0.0075877323537130595
8,DILUTE->DEEP,mix,,0.18501507927192604,0.9994395941929803,0.1267340491237594,0.12189319223262582,0.0,0.2526321245262568,0.0
8,DEEP->DISCH,evap,1.1429586050864775,,0.9996666447482918,0.34826298670791,-0.10700673982957337,0.0,0.41515312109255725,0.05905569980822075
9,SH15->INT1,mix,,0.08393609658694998,0.9975604404148702,0.10153597441421003,0.2234111690425631,0.0,0.2675018859039682,0.0
9,INT1->INT2,evap,1.2386753607278629,,0.9999363753781606,1.4155804401351084,-0.5437438381745274,0.47632795126338423,0.7798671317743471,0.6307474359231551
9,INT2->MIX20,mix,,0.10781417600995227,0.9999739286547362,1.5348676346958716,0.4940731973785965,0.5153159132009517,1.1354288769831273,0.8128983999972784
9,MIX20->MIX40,mix,,0.16074329566362522,0.9995900210708655,0.4298287257311807,0.25066568744592405,0.0,0.2895099815266099,0.0
9,MIX40->MIX60,mix,,0.397290948230715,0.997121499616892,0.20214839817737623,0.07989351591876076,0.0,0.07989351591876076,0.0
9,MIX60->DILUTE,mix,,0.3602818209530563,0.9931395698930141,0.409110518255552,-0.03510748587976,0.0,0.03510748587976,0.0
9,DILUTE->DEEP,mix,,0.24070524178476596,0.9983720207440302,0.14222667804324576,0.03380231316074029,0.0,0.2888653447390964,0.06285861149691181
9,DEEP->DISCH,evap,1.2033673545841632,,0.9998320432574566,0.5152535141108547,0.010633072361436763,0.0,0.17950112933530868,0.1712586280875036
10,SH15->INT1,evap,1.0261668748210138,,0.9961177826872006,0.03228539924987818,-0.0872922202799744,0.0,0.1919171361997021,0.0
10,INT1->INT2,mix,,0.5981335427447734,0.9999585612113041,1.8754827605536302,0.6801513077266325,0.44313997250307263,0.7623771091094077,0.5674535177705902
10,INT2->MIX20,evap,1.332858786387944,,0.9987866691117693,0.3412070261527958,0.18973600956798178,0.0,0.49916496736618443,0.0
10,MIX20->MIX40,evap,1.0,,0.9999471892999533,0.4420487086408272,0.17264352910191996,0.0,0.17264352910191996,0.0
10,MIX40->MIX60,mix,,0.4386175842890985,0.9993627269724004,0.7903069874771329,0.2867182706844411,0.0,0.4388626765482011,0.0
10,MIX60->DILUTE,mix,,0.35994128653195545,0.9959278584359476,0.5664114844929549,-0.05077992353848547,0.0,0.05077992353848547,0.11226403570590279
10,DILUTE->DEEP,mix,,0.22116694426857697,0.9976510008900938,0.0931898493393407,-0.05031423836606732,0.0,0.05031423836606732,0.0
10,DEEP->DISCH,mix,,0.2659376404306616,0.9991837378275953,0.2667267229007848,-0.04361563588821963,0.0,0.04361563588821963,0.0
11,SH15->INT1,evap,1.0589925979920816,,0.9988032814377232,0.05089868754168446,-0.01797711373783652,0.0,0.03956904349372027,0.0
11,INT1->INT2,mix,,0.5445352157195475,0.9999474398980651,1.9341604642383494,0.6136951534634749,0.33694346457562085,0.6861314593102219,0.4583935226542548
11,INT2->MIX20,evap,1.3718113571028934,,0.9978575086020018,0.07145592490835448,0.04721655575498557,0.0,0.1452142676655969,0.0
11,MIX20->MIX40,mix,,0.22085116568110277,0.9940947330955288,0.3347558210041492,0.07564389328717559,0.0,0.10397933439826504,0.0
11,MIX40->MIX60,mix,,0.40035620203292493,0.9975627221111745,0.12126077619230385,0.08983466001147138,0.0,0.25051977837347705,0.0
11,MIX60->DILUTE,mix,,0.3479179549943709,0.999017386753896,0.36151052351898894,-0.09819610223123737,0.0,0.09819610223123737,0.04910643106153052
11,DILUTE->DEEP,mix,,0.29691117927765154,0.9995755163873422,0.42015745675431804,0.10037566715012647,0.0,0.1798093515796128,0.16840822231962493
11,DEEP->DISCH,mix,,0.1694915910965427,0.9996564430445445,0.269644869097222,-0.09382600762060998,0.0,0.3807654267660857,0.0
12,SH15->INT1,evap,1.0630308300998232,,0.9992309952911483,0.047287884877337656,0.013513075974041657,0.0,0.013513075974041657,0.0
12,INT1->INT2,mix,,0.4577960189117986,0.9999610400560393,1.9510913733619721,0.6175294060857177,0.530129569952262,0.7209796554978147,0.6640631482052471
12,INT2->MIX20,evap,1.2525580542786052,,0.9988356650400804,0.10499848275966175,0.12241076081937476,0.0,0.3736732151129988,0.0
12,MIX20->MIX40,mix,,0.08855222513602945,0.997634538044146,0.11079857236729787,-0.007190803522423454,0.0,0.1394014435507152,0.0
12,MIX40->MIX60,mix,,0.4720475480530659,0.9997070912026178,0.5015749448661465,0.303638107100389,0.0,0.303638107100389,0.01998920036498147
12,MIX60->DILUTE,mix,,0.4033240324216735,0.9975536235149106,0.35211757746746397,-0.16482039109494515,0.0,0.16482039109494515,0.08000083390605701
12,DILUTE->DEEP,mix,,0.18007137371977905,0.9970134628236795,0.47728403497535665,0.2864786029985346,0.0,0.2864786029985346,0.053302702649642576
12,DEEP->DISCH,evap,1.1435157141066243,,0.9997072109372338,0.3939061934644761,-0.20110279160768943,0.0,0.43054417260956823,0.040472598711020984
13,SH15->INT1,mix,,0.002051845625099347,0.9943043861963692,0.14189660076533736,-0.030002049861582364,0.0,0.13271002263617612,0.0
13,INT1->INT2,mix,,0.6502406396496244,0.9999503678214207,2.149122362360939,0.7280721290348163,0.42417781178130476,0.757446630983211,0.5364893804690057
13,INT2->MIX20,evap,1.2494957591262492,,0.9990266236748241,0.6029433585833395,0.34011601610753744,0.0,0.35741976747397836,0.0
13,MIX20->MIX40,mix,,0.1273567630717292,0.9998084877989545,0.04112904585501492,0.0,0.0,0.0,0.0
13,MIX40->MIX60,mix,,0.48723624368452756,0.9988618536866263,0.2487428014191,0.15081512028435368,0.0,0.1670512219694077,0.0
13,MIX60->DILUTE,mix,,0.38568327222454385,0.9993883489417545,0.5738042625215583,-0.1953466073697093,0.0,0.1953466073697093,0.19055750011985131
13,DILUTE->DEEP,mix,,0.20446710037798185,0.9981312103305386,0.47159298132594846,0.3302038060083026,0.0,0.5841740698567699,0.0
13,DEEP->DISCH,mix,,0.23465515711364995,0.9994885702897077,0.944792712547813,-0.26989871531012966,0.0,0.5300802561597002,0.0
14,SH15->INT1,mix,,0.0037252850437281045,0.9989593031587257,0.163127942113783,-0.01499309600688791,0.0,0.08467135402001069,0.021033270471560086
14,INT1->INT2,evap,1.3547245985765857,,0.999917153653721,1.2044563755760183,-0.4128343027913153,0.19628058442911603,0.4552110896667974,0.3218584015405631
14,INT2->MIX20,evap,1.3690424004268216,,0.9974757814473832,1.243146034472301,0.10905001787720342,0.0,0.44450529123117555,0.0
14,MIX20->MIX40,mix,,0.16305351030749718,0.9968124558645316,0.26725530418193666,-0.17855354482514088,0.0,0.48315585145566897,0.0
14,MIX40->MIX60,mix,,0.34186399326980227,0.9990053099940355,0.6831217072068329,0.21337746250152814,0.0,0.4289194830292782,0.0
14,MIX60->DILUTE,mix,,0.30368440357730503,0.9973872040265878,0.1847815021296489,-0.08665328652394556,0.0,0.08665328652394556,0.02917319181985286
14,DILUTE->DEEP,mix,,0.15945983383229134,0.996366919537345,0.18947440448758707,-0.06809044259913266,0.0,0.29485304662903267,0.0
14,DEEP->DISCH,mix,,0.20979573062387993,0.9990990256423155,0.2604442944606943,-0.06765591233891499,0.0,0.18534979318426165,0.0
15,SH15->INT1,mix,,0.035025364815637984,0.9984900108807888,0.07101211405866156,0.04764559601043465,0.0,0.14634141370513482,0.0
15,INT1->INT2,mix,,0.6403365873492738,0.9999559706846808,1.5824490617764613,0.5607188760589625,0.47086164930297136,0.688634278464754,0.5902196427369015
15,INT2->MIX20,evap,1.3374340906950952,,0.9988328513464184,1.7445660075718814,0.3294399189310834,0.0,0.7993750520507864,0.0
15,MIX20->MIX40,mix,,0.1528200782575267,0.9995643050563763,0.18108766136374865,-0.18613530721017163,0.0,0.18613530721017163,0.0
15,MIX40->MIX60,mix,,0.38590987701201557,0.9997947135228974,0.5584687574408904,0.2847986964891007,0.0,0.2847986964891007,0.016791304127746653
15,MIX60->DILUTE,mix,,0.3883351271168149,0.9981478387310513,0.640117310198945,-0.14474955479104096,0.0,0.14474955479104096,0.0
15,DILUTE->DEEP,mix,,0.18202551781253093,0.9984476202603403,0.4286295970177604,0.13062809984721815,0.0,0.13062809984721815,0.13685809065105012
15,DEEP->DISCH,mix,,0.1773917748962853,0.9994616502886658,0.2929461307660482,-0.17785116649855168,0.0,0.2551267283948804,0.0
16,SH15->INT1,mix,,0.017803405564639958,0.9991921233219019,0.3586097024084017,0.025769556493092566,0.0,0.316984315412873,0.0
16,INT1->INT2,mix,,0.5584782418133335,0.999951978779991,1.640214020849523,0.5695258118337221,0.31245944839379036,0.6376175495059002,0.4308595126310844
16,INT2->MIX20,evap,1.307240692697667,,0.9987151308444889,0.40840585143760494,0.18843379975350802,0.0,0.18843379975350802,0.0
16,MIX20->MIX40,evap,1.068929645907167,,0.9994042420075616,0.4728246755801948,0.1497589808258428,-0.32377786350807275,0.1497589808258428,0.5523496683511788
16,MIX40->MIX60,mix,,0.33695232048108215,0.9956774514232801,0.14072596570287363,0.1597404652950395,0.0,0.309370170604764,0.0
16,MIX60->DILUTE,mix,,0.28661411179534313,0.9974292972092969,0.5071034123935698,-0.15652799745247553,0.0,0.23552675230419773,0.0
16,DILUTE->DEEP,mix,,0.18031876579769726,0.9919018574541264,0.061906196698721896,0.0826827539721142,0.0,0.0826827539721142,0.0
16,DEEP->DISCH,mix,,0.2512769503394948,0.9992922606844123,0.16282804549180238,-0.10960106506968038,0.0,0.10960106506968038,0.0
17,SH15->INT1,evap,1.0225800962613187,,0.995591067941748,0.015235415632797098,-0.03404107925835547,0.0,0.27548880648850965,0.0
17,INT1->INT2,mix,,0.666917732123255,0.99995634436731,2.0309218854904127,0.7432419281646093,0.401897888733675,0.7797247673151975,0.51655047616375
17,INT2->MIX20,mix,,0.08453969940900717,0.9999604846817172,1.23408878548855,0.4578701584883013,0.27068899446144246,0.7500373249384533,0.5707313964628613
17,MIX20->MIX40,mix,,0.16347847743782148,0.9991325211936463,0.2845708905008358,-0.09095744069881202,0.0,0.09095744069881202,0.0
17,MIX40->MIX60,mix,,0.38610444954977635,0.9998053343501878,0.6355367928846536,0.07093748870811357,0.0,0.07093748870811357,0.0
17,MIX60->DILUTE,mix,,0.23925754621942974,0.9968339034219348,0.17410955989218055,0.05711796159286662,0.0,0.05711796159286662,0.04385822125402439
17,DILUTE->DEEP,mix,,0.25821888705759966,0.9967214813470591,0.1743250365919576,-0.07399586684822193,0.0,0.1717976241238691,0.0
17,DEEP->DISCH,mix,,0.17886676403885474,0.9984093986993179,0.42017286652663544,-0.033139693283814865,0.0,0.033139693283814865,0.0
18,SH15->INT1,mix,,0.0034889391305833926,0.9967360324689148,0.12981491123832806,-0.005739027297462671,0.0,0.2069499259595631,0.0
18,INT1->INT2,mix,,0.6365330130122845,0.9999461918337845,1.5219083534878377,0.5760113220722536,0.25136580031336986,0.6203574677898275,0.3628914702127126
18,INT2->MIX20,evap,1.30641273828223,,0.9992731587343091,0.29638754152794083,0.39053391740988747,0.0,0.48871213298775246,0.0
18,MIX20->MIX40,mix,,0.12515682973142592,0.9964692898301601,0.3165963093432523,0.06856331631589442,0.0,0.3283019050066274,0.0
18,MIX40->MIX60,mix,,0.46224240009029643,0.9990415256946141,0.6773387537513221,0.2113674819273166,0.0,0.2113674819273166,0.08788077842994568
18,MIX60->DILUTE,mix,,0.40854082996049573,0.9916213690121551,0.5451099815655684,-0.04350644230299482,0.0,0.281925195190551,0.0
18,DILUTE->DEEP,mix,,0.10831181352507122,0.9934921802159495,0.10615629745351142,0.05436306014920059,0.0,0.32458412069468145,0.0
18,DEEP->DISCH,mix,,0.0,0.9991199588933005,0.4243283219806049,0.12388446654376423,0.0,0.24413940604608736,0.0
19,SH15->INT1,evap,1.0731976815972681,,0.9950951056329813,0.018861102468068013,-0.06090889074970143,0.0,0.1792538463613993,0.0
19,INT1->INT2,mix,,0.6614428846214536,0.9997471756443432,1.9250450088458568,0.7479888426421215,0.2792408714034722,0.9177174597547916,0.3861496526899658
19,INT2->MIX20,mix,,0.17141983009421116,0.9999578246675667,1.265067539889758,0.4370807471091873,0.2419626874049439,0.8256813167535524,0.5362005102911211
19,MIX20->MIX40,evap,1.0602167314005466,,0.9995392426572234,0.29663352640123897,0.11339298098954083,0.0,0.3326343344524313,0.06188898635604537
19,MIX40->MIX60,mix,,0.4522580426119383,0.9963735285391412,0.12980673269362591,0.1354563281236257,0.0,0.1354563281236257,0.11594036344316648
19,MIX60->DILUTE,mix,,0.3490206271724614,0.9994324140458546,0.44620559089675665,-0.1416375072061525,0.0,0.1416375072061525,0.08360879668945781
19,DILUTE->DEEP,mix,,0.24023278095934653,0.9956214672611369,0.2584025890045983,0.08492805798158272,0.0,0.08492805798158272,0.0
19,DEEP->DISCH,mix,,0.0,0.999832108647666,0.7455500764828651,0.19645358351573627,0.0,0.25639661325827773,0.0
