site,edge_id,pair,psi_a,psi_b,psi_diff_abs,co_activated_both_positive,mean_extent_a,mean_extent_b
Manu,Manu_0_1,calcite~dolomite,0.5,0.0,0.5,False,0.043802464997761865,0.0
Manu,Manu_0_1,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.23055231337782991,0.0
Manu,Manu_0_31,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_0_31,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.3362465945929208,0.0
Manu,Manu_1_0,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_1_0,CaNa_exch~NaCa_exch,0.06666666666666667,0.9333333333333333,0.8666666666666667,True,0.0008041203722965358,0.06810795455544548
Manu,Manu_1_31,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_1_31,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.29360351754168507,0.0
Manu,Manu_2_3,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_2_3,CaNa_exch~NaCa_exch,0.0,1.0,1.0,False,0.0,0.35792600852945833
Manu,Manu_2_4,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_2_4,CaNa_exch~NaCa_exch,0.0,1.0,1.0,False,0.0,0.18109082048058797
Manu,Manu_3_4,calcite~dolomite,0.36666666666666664,0.0,0.36666666666666664,False,0.010450960714958907,0.0
Manu,Manu_3_4,CaNa_exch~NaCa_exch,1.0,0.03333333333333333,0.9666666666666667,True,0.2317722765267932,0.0004288044903963786
Manu,Manu_3_2,calcite~dolomite,0.6,0.0,0.6,False,0.029279933529419187,0.0
Manu,Manu_3_2,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.5085054689362732,0.0
Manu,Manu_4_3,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_4_3,CaNa_exch~NaCa_exch,0.03333333333333333,1.0,0.9666666666666667,True,1.443372697717056e-07,0.1774157452841581
Manu,Manu_4_2,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_4_2,CaNa_exch~NaCa_exch,1.0,0.06666666666666667,0.9333333333333333,True,0.2478637485794607,0.001313953311519779
Manu,Manu_5_8,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_5_8,CaNa_exch~NaCa_exch,1.0,1.0,0.0,True,0.03185637073156906,0.8527084674334385
Manu,Manu_5_6,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_5_6,CaNa_exch~NaCa_exch,0.06666666666666667,0.9333333333333333,0.8666666666666667,True,0.0006160646746890981,0.11600852625553947
Manu,Manu_6_7,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_6_7,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.22062494760784856,0.0
Manu,Manu_6_8,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_6_8,CaNa_exch~NaCa_exch,1.0,1.0,0.0,True,0.04812581802069585,0.6226638210633506
Manu,Manu_7_6,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Manu,Manu_7_6,CaNa_exch~NaCa_exch,0.0,1.0,1.0,False,0.0,0.1675280266432237
