particle,milestone,node_id,modpath_node_zero_based,row_zero_based,column_zero_based,x_m,y_m,travel_time_days,age_years
0,0,MF2106_P0_M0,21,1,1,225.0,1275.0,0.0,1.5
0,1,MF2106_P0_M1,25,1,6,900.0,1275.99658203125,5838.38720703125,17.484633010352496
0,2,MF2106_P0_M2,30,1,11,1650.0,1284.36669921875,11727.1640625,33.60722535934291
0,3,MF2106_P0_M3,35,1,16,2400.0,1241.2177734375,18055.828125,50.93416324435318
1,0,MF2106_P1_M0,101,5,1,225.0,675.0,0.0,1.5
1,1,MF2106_P1_M1,105,5,6,900.0,611.8681030273438,5817.09033203125,17.426325344370294
1,2,MF2106_P1_M2,130,6,11,1650.0,533.5908203125,11757.8310546875,33.691187008042434
1,3,MF2106_P1_M3,135,6,16,2400.0,554.7999267578125,18068.34765625,50.96843985284052
2,0,MF2106_P2_M0,161,8,1,225.0,225.0,0.0,1.5
2,1,MF2106_P2_M1,165,8,6,900.0,199.5493621826172,6253.76318359375,18.621870454739906
2,2,MF2106_P2_M2,170,8,11,1650.0,155.22207641601562,12204.4365234375,34.91392614219713
2,3,MF2106_P2_M3,175,8,16,2400.0,181.28077697753906,17934.546875,50.60211327857632
