edge_id,u,v,distance_km,hydraulic_probability,hydraulic_logit,age_cost,negative_age_cost,chemistry_objective_unconstrained,chemistry_objective_constrained,negative_chemistry_log_objective,phreeqc_objective_change,phreeqc_ok,thermodynamic_constraints_active_count,thermodynamic_bound_hit_count,constraints_binding,reaction_extents,dominant_reaction,dominant_reaction_family,dominant_reaction_unconstrained,dominant_reaction_family_unconstrained,seed,split,is_true_edge,true_process,true_process_family,probability_hydraulic_chemistry,probability_hydraulic_chemistry_age,permuted_negative_age_cost,probability_age_permuted_control
MF2101_P0_M0->MF2101_P0_M1,MF2101_P0_M0,MF2101_P0_M1,0.6718092366999845,0.999999,13.815509557935018,0.00084776545886662,-0.0008474063086990672,0.15472786984613066,0.1547278698455038,-0.14386470568986365,-6.26859675278979e-13,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.11845816525473998, 'anorthite': 0.21041178720520662, 'k_feldspar': -0.011647974841088059, 'NO3src': 0.0, 'denit': 0.001415460419615557, 'CaNa_exch': 0.0, 'NaCa_exch': 0.04467857189418173, 'MgNa_exch': 0.020022570140881078, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2101,development,1,carbonate_weathering,carbonate,0.7535226080451113,0.7476525792653314,-0.009346678346417722,0.7503083400280709
MF2101_P0_M0->MF2101_P1_M1,MF2101_P0_M0,MF2101_P1_M1,0.8600962229702739,0.999999,13.815509557935018,0.000743121105881629,-0.0007428451281074347,0.15711590793693678,0.16353788907778294,-0.1514652679723901,0.006421981140846161,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.020477315015172734, 'albite': 0.15737474223556525, 'anorthite': -0.19362890670453792, 'k_feldspar': -0.01431295724453769, 'NO3src': 0.0, 'denit': 0.20509314130849968, 'CaNa_exch': 0.1595428208784036, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.04748272461710208}",denit,denitrification,NO3src,other,2101,development,0,,,0.6012956339417377,0.5822316108418046,-3.127110634010574,0.9960417230778703
MF2101_P0_M0->MF2101_P2_M1,MF2101_P0_M0,MF2101_P2_M1,1.244744689791351,0.999999,13.815509557935018,0.01244329575124609,-0.01236651423396344,0.15998178943057267,0.16091615222294367,-0.1492094798002004,0.0009343627923709963,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.005662280877739431, 'albite': 0.20184451613206172, 'anorthite': -0.12046241691347123, 'k_feldspar': 0.02874474803596559, 'NO3src': 0.0, 'denit': 0.008077941033511052, 'CaNa_exch': 0.11911291085709311, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0432632502950682}",albite,silicate_exchange,albite,silicate_exchange,2101,development,0,,,0.6503519346390901,0.6399267113546766,-0.0019876290013565137,0.6359424948099365
MF2101_P0_M0->MF2101_P0_M2,MF2101_P0_M0,MF2101_P0_M2,1.4173613240427672,0.999999,13.815509557935018,0.007217635894293226,-0.007191713418268756,0.15276073029070103,0.15355672652260519,-0.1428499751620656,0.0007959962319041558,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'denit': 'lower', 'CaNa_exch': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.007080566212000753, 'anorthite': -0.020861822582882137, 'k_feldspar': -0.007413250701567738, 'NO3src': 0.025823813989025682, 'denit': 0.0, 'CaNa_exch': 0.0, 'NaCa_exch': 0.0, 'MgNa_exch': 0.030208479191787683, 'NaMg_exch': 0.0}",MgNa_exch,silicate_exchange,denit,denitrification,2101,development,0,,,0.7706222280863426,0.7680517119056753,-0.016605375695117136,0.7708272438655608
MF2101_P0_M0->MF2101_P1_M2,MF2101_P0_M0,MF2101_P1_M2,1.4832379639287077,0.999999,13.815509557935018,0.3115896258145042,-0.27123985639204345,0.1969694933903627,0.25629059352445,-0.22816340555648046,0.059321100134087285,True,7,4,"{'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.14112755188652698, 'anorthite': -0.13849643372648232, 'k_feldspar': 0.0, 'NO3src': 0.0, 'denit': 0.29250644416541904, 'CaNa_exch': 0.10577924796002672, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.005555206220359314}",denit,denitrification,NO3src,other,2101,development,0,,,0.0012053987042556736,0.0010825426642870897,-0.24726334566341732,0.0010402965334718065
MF2101_P0_M0->MF2101_P2_M2,MF2101_P0_M0,MF2101_P2_M2,1.775174164348791,0.999999,13.815509557935018,0.007173330237442145,-0.007147724284477805,0.16434890383813353,0.16942026154045106,-0.15650812305062764,0.005071357702317536,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.015477773866200991, 'albite': 0.10705366386286252, 'anorthite': 0.13426059924182188, 'k_feldspar': 0.014781708602155816, 'NO3src': 0.0, 'denit': 0.010741781026712164, 'CaNa_exch': 0.04926518492017966, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.01494773681599628}",anorthite,silicate_exchange,anorthite,silicate_exchange,2101,development,0,,,0.48551246339794135,0.46065841938049074,-0.14101823114971362,0.5161946275560545
MF2101_P0_M0->MF2101_P0_M3,MF2101_P0_M0,MF2101_P0_M3,2.162529490435008,0.999999,13.815509557935018,0.004833877873384179,-0.004822232199833811,0.15601773564036414,0.1577840436387195,-0.14650787094637943,0.0017663079983553653,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'denit': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.16156658876318497, 'anorthite': -0.04373590618350117, 'k_feldspar': 0.01703296277922822, 'NO3src': 0.02752778499079053, 'denit': 0.0, 'CaNa_exch': 0.03446377571359267, 'NaCa_exch': 0.0, 'MgNa_exch': 0.02702737230321554, 'NaMg_exch': 0.0}",albite,silicate_exchange,albite,silicate_exchange,2101,development,0,,,0.7051106175759609,0.6964652021043516,-0.48257901054878033,0.835422468517126
MF2101_P0_M0->MF2101_P1_M3,MF2101_P0_M0,MF2101_P1_M3,2.230696917753396,0.999999,13.815509557935018,0.2569181875709858,-0.22866284202535003,0.20056789467847394,0.2602029575820354,-0.23127278543786758,0.05963506290356144,True,7,4,"{'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.07953207180262278, 'anorthite': -0.0777032035091781, 'k_feldspar': 0.01080381664342702, 'NO3src': 0.0, 'denit': 0.3062984498600022, 'CaNa_exch': 0.07653282033061629, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.005909573926695685}",denit,denitrification,NO3src,other,2101,development,0,,,0.0009030610050630231,0.0007411323039351726,-0.0015198033564027395,0.0005082123311100676
MF2101_P0_M1->MF2101_P0_M2,MF2101_P0_M1,MF2101_P0_M2,0.74574866112736,0.999999,13.815509557935018,0.03737561436704552,-0.036694076168660654,0.1579965276203541,0.1582270376283229,-0.14689042006161376,0.00023051000796880938,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'denit': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.15163209579026524, 'anorthite': -0.3196230048255892, 'k_feldspar': 0.0, 'NO3src': 0.004171682805952395, 'denit': 0.0, 'CaNa_exch': 0.09329725593504347, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0039009642713153736}",anorthite,silicate_exchange,anorthite,silicate_exchange,2101,development,1,carbonate_precipitation,carbonate,0.6976619466535449,0.6996310993775753,-0.3494462035788552,0.7966258017744638
MF2101_P0_M1->MF2101_P1_M2,MF2101_P0_M1,MF2101_P1_M2,0.8809662389006107,0.999999,13.815509557935018,0.6202476542411629,-0.48257901054878033,0.20432811060530673,0.281939459093261,-0.24837413358719146,0.07761134848795428,True,7,4,"{'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.2973937336110146, 'anorthite': -0.4551499857575598, 'k_feldspar': 0.004859594129618279, 'NO3src': 0.0, 'denit': 0.3190029635215783, 'CaNa_exch': 0.21678661796848694, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.051146880079572916}",anorthite,silicate_exchange,NO3src,other,2101,development,0,,,0.00018430675281861107,0.00020730215506776738,-0.2948557387019878,0.00015175022955651158
