method,n,mae_log1p,rmse_log1p,bias_log1p,coverage90,ion
expanding_mean_delta,1518,0.18021776309238863,0.24977160347998037,0.016235181086511074,0.9117259552042161,ALL
hydrosheaf_graph_ridge,1518,0.17438069021693373,0.24247039461380884,0.025268095372303193,0.9268774703557312,ALL
persistence,1518,0.34246686832689816,0.41826520237480747,0.3019942162624935,0.6442687747035574,ALL
expanding_mean_delta,138,0.15807193049228818,0.19283481648502665,0.019816584862090033,0.9347826086956522,Ca_mg_L
expanding_mean_delta,138,0.19282224190760403,0.26347368425691275,0.029929828005623813,0.8913043478260869,Cl_mg_L
expanding_mean_delta,138,0.14630545378959126,0.17938638133871107,0.008088158085504116,0.9202898550724637,F_mg_L
expanding_mean_delta,138,0.13798322103820584,0.1783971685780484,0.021486500912848486,0.927536231884058,HCO3_mg_L
expanding_mean_delta,138,0.1677131219632811,0.2111473145941058,0.04095670653556872,0.9130434782608695,K_mg_L
expanding_mean_delta,138,0.19298467040449385,0.24032281297421704,0.03038994526570455,0.9057971014492754,Mg_mg_L
expanding_mean_delta,138,0.37418116970151266,0.46779184619694436,-0.009996678497645104,0.8405797101449275,NO3_mg_L
expanding_mean_delta,138,0.19426890433892188,0.2544533580461559,0.025853076753139803,0.9130434782608695,Na_mg_L
expanding_mean_delta,138,0.22029862312142587,0.2863342937936706,0.013911619704918051,0.9057971014492754,SO4_mg_L
expanding_mean_delta,138,0.1592854859413518,0.21319333715138636,-0.0058408913070790575,0.8768115942028986,SiO2_mg_L
expanding_mean_delta,138,0.03848057131759841,0.04778104383393326,0.003992141630948401,1.0,Sr_mg_L
hydrosheaf_graph_ridge,138,0.1500838449493912,0.18622523876723676,0.024129002311578412,0.9420289855072463,Ca_mg_L
hydrosheaf_graph_ridge,138,0.1959239096879448,0.2566308219879517,0.039863659657820634,0.9202898550724637,Cl_mg_L
hydrosheaf_graph_ridge,138,0.13469908233361014,0.17106190182931955,0.01972475437318977,0.9492753623188406,F_mg_L
hydrosheaf_graph_ridge,138,0.13382800102716247,0.17570646685577263,0.026926620531123893,0.9492753623188406,HCO3_mg_L
hydrosheaf_graph_ridge,138,0.1493751723507107,0.18712992288806574,0.03806963556156761,0.9565217391304348,K_mg_L
hydrosheaf_graph_ridge,138,0.18246042911707896,0.23150930465403963,0.05202680739218822,0.927536231884058,Mg_mg_L
hydrosheaf_graph_ridge,138,0.39264552789104723,0.4725949057775005,0.026837653748748847,0.8405797101449275,NO3_mg_L
hydrosheaf_graph_ridge,138,0.18083029805272496,0.24469154028921186,0.03668433349193272,0.9057971014492754,Na_mg_L
hydrosheaf_graph_ridge,138,0.20481471984568173,0.2690679411624008,0.011567987595630137,0.927536231884058,SO4_mg_L
hydrosheaf_graph_ridge,138,0.16069224247956307,0.20038855603064823,-0.0012412186582737347,0.8768115942028986,SiO2_mg_L
hydrosheaf_graph_ridge,138,0.03283436465135526,0.040613648180703954,0.0033598130898286,1.0,Sr_mg_L
persistence,138,0.4151554990820494,0.4457465740875538,0.4147469233953327,0.3695652173913043,Ca_mg_L
persistence,138,0.5610673800977709,0.5972978016576252,0.5610034570426043,0.4057971014492754,Cl_mg_L
persistence,138,0.18778032972440098,0.23141107339172726,0.15497144679357136,0.8478260869565217,F_mg_L
persistence,138,0.3760716368247499,0.40466604612494156,0.375448918500593,0.4420289855072464,HCO3_mg_L
persistence,138,0.36225519278572305,0.40280685537308547,0.3579370386477069,0.4927536231884058,K_mg_L
persistence,138,0.4231725295000611,0.4664936293019057,0.4137073096341222,0.5,Mg_mg_L
persistence,138,0.4250235285727281,0.5463029729314202,0.30480481653430297,0.782608695652174,NO3_mg_L
persistence,138,0.42026241539995224,0.4742566957624256,0.41837385743638134,0.6231884057971014,Na_mg_L
persistence,138,0.39777300367673724,0.4472955681459766,0.3633943278413725,0.7463768115942029,SO4_mg_L
persistence,138,0.16033133400339752,0.21467250504320376,-0.03950341525993771,0.8768115942028986,SiO2_mg_L
persistence,138,0.03824270192830924,0.047429720797423254,-0.0029483016786212434,1.0,Sr_mg_L
