seed,n_samples,n_successful_samples,success_fraction,n_candidate_edge_fits,n_edges_with_active_direction_constraints,n_edges_hitting_thermodynamic_bound,n_edges_with_material_objective_change,mean_absolute_objective_change,max_absolute_objective_change
3101,12,12,1.0,69,69,69,57,0.01513798037447035,0.09767207031258149
3102,12,12,1.0,69,69,69,63,0.028766466567711788,0.19494145240866317
3103,12,12,1.0,69,69,69,62,0.024951287110322583,0.1324908023015264
3104,12,12,1.0,69,69,69,61,0.03141966621819433,0.14959156404790386
3105,12,12,1.0,69,69,69,51,0.021074319933455436,0.1277251022433528
3106,12,12,1.0,69,69,69,46,0.01617759576252926,0.0826183408867098
3107,12,12,1.0,69,69,69,53,0.02196970434752077,0.1228115096516684
3108,12,12,1.0,68,68,68,58,0.020468722933890307,0.07604196468799296
3109,12,12,1.0,69,69,69,62,0.020700334122956264,0.1252060561923055
3110,12,12,1.0,69,69,69,50,0.02739899819291031,0.1804849409760526
3111,12,12,1.0,68,68,68,58,0.04040502012467197,0.2446211402649563
3112,12,12,1.0,69,69,69,50,0.02352651440559986,0.13424230170181267
