edge_id,u,v,distance_km,hydraulic_probability,hydraulic_logit,age_cost,negative_age_cost,chemistry_objective_unconstrained,chemistry_objective_constrained,negative_chemistry_log_objective,phreeqc_objective_change,phreeqc_ok,thermodynamic_constraints_active_count,thermodynamic_bound_hit_count,constraints_binding,reaction_extents,dominant_reaction,dominant_reaction_family,dominant_reaction_unconstrained,dominant_reaction_family_unconstrained,fusion_probability,seed,split,is_true_edge,true_process,true_process_family,probability_hydraulic_chemistry,probability_hydraulic_chemistry_age,permuted_negative_age_cost,probability_age_permuted_control,constrained_family_correct,unconstrained_family_correct
MF3101_P0_M0->MF3101_P0_M1,MF3101_P0_M0,MF3101_P0_M1,0.671181662016395,0.999999,13.815509557935018,0.00032450914490730014,-0.0003244565032029043,0.16087276118290192,0.16133511258165725,-0.1495703023947307,0.00046235139875533404,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.12016513650011287, 'anorthite': 0.18915387011170512, 'k_feldspar': -0.01897740035657488, 'NO3src': 0.0, 'denit': 0.04139577826612028, 'CaNa_exch': 0.0, 'NaCa_exch': 0.025780140439277035, 'MgNa_exch': 0.0035030882111426655, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.6269692314231837,3101,locked_test,1,carbonate_weathering,carbonate,0.6426859153466338,0.6269692314231837,-3.950563094258637e-06,0.6268446398466119,False,False
MF3101_P0_M1->MF3101_P0_M2,MF3101_P0_M1,MF3101_P0_M2,0.7462293412531525,0.999999,13.815509557935018,0.013223040799884192,-0.013136379510471027,0.1594153853516826,0.1594157678233223,-0.14791622981663172,3.8247163972049414e-07,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.1899443373593516, 'anorthite': -0.4030748155996891, 'k_feldspar': 0.005479068588972987, 'NO3src': 0.0, 'denit': 0.0001436357743979809, 'CaNa_exch': 0.07449166669882129, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0034137170667039155, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.6692119406307234,3101,locked_test,1,carbonate_precipitation,carbonate,0.6771750623380326,0.6692119406307234,-0.011285824818228957,0.6685307423871784,False,False
MF3101_P0_M2->MF3101_P0_M3,MF3101_P0_M2,MF3101_P0_M3,0.7457017076555923,0.999999,13.815509557935018,0.005387282783097368,-0.005372823283565991,0.154611014471638,0.15461259858222495,-0.1437648752274866,1.5841105869551786e-06,True,8,5,"{'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.17946155218308504, 'anorthite': -0.07067601040346033, 'k_feldspar': 0.030953854645897946, 'NO3src': 0.0, 'denit': 0.02309294569114403, 'CaNa_exch': 0.05276694670121184, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.01120080003886905}",albite,silicate_exchange,albite,silicate_exchange,0.750925911507669,3101,locked_test,1,silicate_weathering,silicate_exchange,0.7552423141544891,0.750925911507669,-0.004010696952117405,0.7505022471098688,True,True
MF3101_P1_M0->MF3101_P1_M1,MF3101_P1_M0,MF3101_P1_M1,0.6717836896001619,0.999999,13.815509557935018,0.0026491808676052456,-0.0026456779731407563,0.1536623527142583,0.1593223662022648,-0.14783566735920076,0.005660013488006516,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.009157812164182003, 'albite': 0.05539484922339593, 'anorthite': -0.11160223898060823, 'k_feldspar': -0.012868242948498034, 'NO3src': 0.0, 'denit': 0.18891144604623608, 'CaNa_exch': 0.03981180868495196, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.008786160192439496}",denit,denitrification,NO3src,other,0.6671181569722786,3101,locked_test,1,denitrification,denitrification,0.6788102377693938,0.6671181569722786,-0.12934900297300816,0.7121319799019415,True,False
MF3101_P1_M1->MF3101_P1_M2,MF3101_P1_M1,MF3101_P1_M2,0.7491672159575746,0.999999,13.815509557935018,0.007839746446031168,-0.007809175309880853,0.15843905916041853,0.1607359010345689,-0.14905420141687503,0.002296841874150357,True,10,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'iron_reduction': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.0719449686375541, 'anorthite': -0.1645592962904731, 'k_feldspar': -0.0021974396953240534, 'NO3src': 0.0, 'sulfate_reduction': 0.28458719220500467, 'iron_reduction': 0.0, 'CaNa_exch': 0.07772122815800127, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.019231203216769528}",sulfate_reduction,sulfate_reduction,sulfate_reduction,sulfate_reduction,0.6417289503448338,3101,locked_test,1,sulfate_reduction,sulfate_reduction,0.6536274753403726,0.6417289503448337,-0.02218558186923033,0.6472036113620845,True,True
MF3101_P1_M2->MF3101_P1_M3,MF3101_P1_M2,MF3101_P1_M3,0.7547025480522227,0.999999,13.815509557935018,0.13808725069656647,-0.12934900297300816,0.15780766944130617,0.15780766944130595,-0.14652827679120414,-2.220446049250313e-16,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'albite': -0.014377263725132275, 'anorthite': 0.0038606786266340196, 'k_feldspar': 0.011991488017470806, 'NO3src': 0.0, 'sulfate_reduction': 0.03787926185513025, 'iron_reduction': 0.0711180338951649, 'CaNa_exch': 0.0, 'NaCa_exch': 0.009530394991508647, 'MgNa_exch': 0.008482001708872072, 'NaMg_exch': 0.0}",iron_reduction,iron_reduction,iron_reduction,iron_reduction,0.7379733176946213,3101,locked_test,1,iron_reduction,iron_reduction,0.7047159954394788,0.7379733176946213,-0.07796700373987142,0.7211280859697471,True,True
MF3101_P2_M0->MF3101_P2_M1,MF3101_P2_M0,MF3101_P2_M1,0.6712709972582074,0.999999,13.815509557935018,0.004201170044090857,-0.004192369768248213,0.15295669479236826,0.1533446437958366,-0.14266610711283315,0.0003879490034683353,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.09538931765464333, 'anorthite': -0.009068570530932797, 'k_feldspar': 0.03201305478652119, 'NO3src': 0.0, 'denit': 0.011811751217148439, 'CaNa_exch': 0.013918440994748125, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.01617809996631102}",albite,silicate_exchange,albite,silicate_exchange,0.7704048099976987,3101,locked_test,1,silicate_weathering,silicate_exchange,0.7736298673213748,0.7704048099976987,-0.0034232894937705227,0.7701786395439999,True,True
MF3101_P2_M1->MF3101_P2_M2,MF3101_P2_M1,MF3101_P2_M2,0.7468561401366075,0.999999,13.815509557935018,0.006715893933950636,-0.0066934427819323565,0.15899111662468657,0.15938490407193365,-0.14788960937291304,0.00039378744724707926,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.10265788853394134, 'anorthite': 0.18821699951413212, 'k_feldspar': -0.009461563539023434, 'NO3src': 0.0, 'denit': 0.0335950229283231, 'CaNa_exch': 0.0, 'NaCa_exch': 0.0195156686124977, 'MgNa_exch': 0.011518483348654265, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.667423672095252,3101,locked_test,1,carbonate_weathering,carbonate,0.6777158593542969,0.667423672095252,-0.006300045393392395,0.6672785263560624,False,False
MF3101_P2_M2->MF3101_P2_M3,MF3101_P2_M2,MF3101_P2_M3,0.7485029185068547,0.999999,13.815509557935018,0.0007586952651962506,-0.0007584076014337626,0.15827571090018608,0.15827571089960188,-0.14693244312531797,-5.841993555577574e-13,True,9,5,"{'calcite': 'upper', 'dolomite': 'lower', 'gypsum': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.0, 'anorthite': -0.09756268734866493, 'k_feldspar': 0.006424665831676347, 'NO3src': 0.09659754221144941, 'denit': 0.3368194801087401, 'CaNa_exch': 0.01730756543531203, 'NaCa_exch': 0.0, 'MgNa_exch': 0.009684220855845672, 'NaMg_exch': 0.0}",denit,denitrification,denit,denitrification,0.6860351069924893,3101,locked_test,1,denitrification,denitrification,0.6968372350714198,0.6860351069924893,-0.020533240773789506,0.6930704694225216,True,True
MF3102_P0_M0->MF3102_P0_M1,MF3102_P0_M0,MF3102_P0_M1,0.6711807360880658,0.999999,13.815509557935018,0.00018758617148056106,-0.00018756857939468267,0.15821753090599144,0.15838356332812348,-0.1470255534327329,0.00016603242213203417,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'CaNa_exch': 'lower', 'MgNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.09677604593449975, 'anorthite': 0.2080729375929825, 'k_feldspar': -0.02241676595761217, 'NO3src': 0.0, 'denit': 0.0024835502664100526, 'CaNa_exch': 0.0, 'NaCa_exch': 0.053289749388520526, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.6838370358959561,3102,locked_test,1,carbonate_weathering,carbonate,0.6950054080550258,0.6838370358959561,-0.04497453766974899,0.6997059509598295,False,False
MF3102_P0_M1->MF3102_P0_M2,MF3102_P0_M1,MF3102_P0_M2,0.7457003520633664,0.999999,13.815509557935018,0.015268144695146533,-0.015152759569501495,0.15814946406431926,0.158149464068197,-0.14682344169251177,3.8777314692595155e-12,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'denit': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.18146789356656065, 'anorthite': -0.3661250020999268, 'k_feldspar': 0.006452873771584051, 'NO3src': 0.007002424717873715, 'denit': 0.0, 'CaNa_exch': 0.08582328979088011, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0011761170971454726, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.6934683619235477,3102,locked_test,1,carbonate_precipitation,carbonate,0.6989737791268242,0.6934683619235477,-0.009387860815499171,0.6914279001935444,False,False
MF3102_P0_M2->MF3102_P0_M3,MF3102_P0_M2,MF3102_P0_M3,0.7462693993026138,0.999999,13.815509557935018,0.056822844292131136,-0.05526709046862437,0.15272696250335596,0.15272906863748856,-0.14213223417577125,2.1061341325956384e-06,True,8,6,"{'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.10426425627133346, 'anorthite': -0.015514588861208455, 'k_feldspar': 0.03276668252892489, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.02024112243842683, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.022582401775658928}",albite,silicate_exchange,albite,silicate_exchange,0.7938757637302378,3102,locked_test,1,silicate_weathering,silicate_exchange,0.7822039027767507,0.7938757637302379,-0.00019133945766775773,0.778494020457133,True,True
MF3102_P1_M0->MF3102_P1_M1,MF3102_P1_M0,MF3102_P1_M1,0.6738824318920245,0.999999,13.815509557935018,0.0008822206867468956,-0.0008818317588068739,0.15316119346643425,0.1558950143501351,-0.14487494808976287,0.0027338208837008604,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.043768396992245724, 'anorthite': -0.10107565596687626, 'k_feldspar': -0.0048131801159577, 'NO3src': 0.0, 'denit': 0.20753339086856484, 'CaNa_exch': 0.05714741751686896, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.019678644688360322}",denit,denitrification,NO3src,other,0.7282906616814268,3102,locked_test,1,denitrification,denitrification,0.7356667831549797,0.7282906616814268,-0.02297637738850567,0.7354959733881,True,False
MF3102_P1_M1->MF3102_P1_M2,MF3102_P1_M1,MF3102_P1_M2,0.748656766008918,0.999999,13.815509557935018,0.023700301553417465,-0.023423809515604323,0.15663773766914205,0.1593604529383494,-0.14786851940414075,0.0027227152692073653,True,10,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'iron_reduction': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.041296497987767966, 'anorthite': -0.1133747975944044, 'k_feldspar': 0.0, 'NO3src': 0.0, 'sulfate_reduction': 0.22947915198361643, 'iron_reduction': 0.0, 'CaNa_exch': 0.0369610738394796, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.007486845311268087}",sulfate_reduction,sulfate_reduction,sulfate_reduction,sulfate_reduction,0.6740266095783605,3102,locked_test,1,sulfate_reduction,sulfate_reduction,0.6781439666749592,0.6740266095783605,-0.010133368833635085,0.6691548498747016,True,True
MF3102_P1_M2->MF3102_P1_M3,MF3102_P1_M2,MF3102_P1_M3,0.7510975958971754,0.999999,13.815509557935018,0.07333713180377031,-0.07077260982955728,0.1511559885845954,0.15118345690899046,-0.14079050618633435,2.7468324395069077e-05,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'sulfate_reduction': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'albite': -0.0018943718212268877, 'anorthite': 0.008518179060776631, 'k_feldspar': -0.0023001097605025466, 'NO3src': 0.0, 'sulfate_reduction': 0.0, 'iron_reduction': 0.03787232743187528, 'CaNa_exch': 0.00896356433791479, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.006766833775466266}",iron_reduction,iron_reduction,iron_reduction,iron_reduction,0.8186644032447877,3102,locked_test,1,iron_reduction,iron_reduction,0.8027064329748336,0.8186644032447877,-0.0001617095433876689,0.8005873132065632,True,True
MF3102_P2_M0->MF3102_P2_M1,MF3102_P2_M0,MF3102_P2_M1,0.6711913098352326,0.999999,13.815509557935018,0.00016172261908069217,-0.0001617095433876689,0.15601287483193985,0.1586367039677245,-0.14724405876406832,0.0026238291357846555,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.19546038623930803, 'anorthite': -0.09430225038043108, 'k_feldspar': 0.012872992683726051, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.06442275125417712, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.024275779664078918}",albite,silicate_exchange,NO3src,other,0.679122472011799,3102,locked_test,1,silicate_weathering,silicate_exchange,0.6906823329434817,0.679122472011799,-0.0021954748930144144,0.6798586067613267,True,False
MF3102_P2_M1->MF3102_P2_M2,MF3102_P2_M1,MF3102_P2_M2,0.7463438075226918,0.999999,13.815509557935018,0.02324236760480193,-0.02297637738850567,0.15847091557636553,0.15872610264963216,-0.14732121429767464,0.0002551870732666328,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'CaNa_exch': 'lower', 'MgNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.14608086068983644, 'anorthite': 0.21927641167541542, 'k_feldspar': -0.02014489902960374, 'NO3src': 0.0, 'denit': 0.01672803112048633, 'CaNa_exch': 0.0, 'NaCa_exch': 0.060486715801180584, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.6856813671678247,3102,locked_test,1,carbonate_weathering,carbonate,0.689147771452934,0.6856813671678247,-0.02937562362252782,0.6879690338663973,False,False
MF3102_P2_M2->MF3102_P2_M3,MF3102_P2_M2,MF3102_P2_M3,0.7479139888010382,0.999999,13.815509557935018,0.029262194774566323,-0.02884222981198558,0.15565874186691622,0.1557478676320283,-0.14474763887651676,8.912576511208026e-05,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.0, 'anorthite': -0.033919350432493535, 'k_feldspar': 0.0024754390300848394, 'NO3src': 0.0, 'denit': 0.21383472402839027, 'CaNa_exch': 0.019032704239276162, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.009874739894840273}",denit,denitrification,denit,denitrification,0.7398265853620767,3102,locked_test,1,denitrification,denitrification,0.7379619778996184,0.7398265853620766,-0.006748252653996379,0.732696554171623,True,True
MF3103_P0_M0->MF3103_P0_M1,MF3103_P0_M0,MF3103_P0_M1,0.6714998546912998,0.999999,13.815509557935018,0.000697706316467545,-0.0006974630325694237,0.16032069860302783,0.1603599314475559,-0.14873024272026308,3.923284452805875e-05,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.13405287723766435, 'anorthite': 0.25023287336072586, 'k_feldspar': -0.01760688165898885, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.0, 'NaCa_exch': 0.04983376573402909, 'MgNa_exch': 0.008331069544093706, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.6463869178555058,3103,locked_test,1,carbonate_weathering,carbonate,0.6604143125177797,0.6463869178555058,-0.00512970363442605,0.6480688424912706,False,False
MF3103_P0_M1->MF3103_P0_M2,MF3103_P0_M1,MF3103_P0_M2,0.7459506335465392,0.999999,13.815509557935018,0.01086148345744484,-0.01080292121295469,0.16322408108869255,0.163224081082888,-0.1511955300268486,-5.80455128407209e-12,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.24160110865544018, 'anorthite': -0.5006219102517518, 'k_feldspar': 0.011623963844763137, 'NO3src': 0.0, 'denit': 0.008783384024130002, 'CaNa_exch': 0.08118510055192805, 'NaCa_exch': 0.0, 'MgNa_exch': 0.030165645549959565, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,0.5927681084807875,3103,locked_test,1,carbonate_precipitation,carbonate,0.6072921382694334,0.5927681084807875,-0.007753930909784871,0.5915442864003895,False,False
