particle,milestone,node_id,modpath_node_zero_based,row_zero_based,column_zero_based,x_m,y_m,travel_time_days,age_years
0,0,MF2105_P0_M0,21,1,1,225.0,1275.0,0.0,1.5
0,1,MF2105_P0_M1,25,1,6,900.0,1299.577880859375,5689.82861328125,17.077901747518823
0,2,MF2105_P0_M2,30,1,11,1650.0,1310.65087890625,11137.34375,31.99238535249829
0,3,MF2105_P0_M3,35,1,16,2400.0,1294.63623046875,16947.6328125,47.900089835728956
1,0,MF2105_P1_M0,101,5,1,225.0,675.0,0.0,1.5
1,1,MF2105_P1_M1,85,4,6,900.0,750.8568115234375,6766.25244140625,20.024989572638603
1,2,MF2105_P1_M2,90,4,11,1650.0,824.6796875,12197.5859375,34.895170260095824
1,3,MF2105_P1_M3,95,4,16,2400.0,790.5198974609375,17356.3515625,49.0191007871321
2,0,MF2105_P2_M0,161,8,1,225.0,225.0,0.0,1.5
2,1,MF2105_P2_M1,165,8,6,900.0,196.6092987060547,5255.484375,15.88873203285421
2,2,MF2105_P2_M2,170,8,11,1650.0,197.14913940429688,10497.416015625,30.240358701232033
2,3,MF2105_P2_M3,155,7,16,2400.0,309.676025390625,16712.201171875,47.255513133128
