PairID,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,Cations_meqL,Anions_meqL,CBE_pct,CBE_pass
E1-DRY-QC1,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30,high_input,6.4,702,511,40.49,23.9,54.37,4.2,297.94,29.14,12.88,41.95,6.459678056,6.649464711,-1.447742681,TRUE
E1-DRY-QC2,E1-DRY,5,dry,groundwater,BH2,10.875,-0.912,,downgradient,7.3,811,555,100.84,17.03,22.86,3.58,171.45,34.89,75.45,114.34,7.519729198,7.208949226,2.110032975,TRUE
E2-PRE-QC1,E2-PRE,9,transition,groundwater,BH3,10.872,-0.908,,downgradient,7.4,1093,684,60.35,18.76,108.04,7.92,119.09,143.14,72.04,139.71,9.457360042,9.742513052,-1.485181744,TRUE
E3-POST1-QC1,E3-POST1,10,wet,groundwater,BH3,10.872,-0.908,,downgradient,7,791,582,36.32,34.55,85.54,4.68,90.35,143.26,13.49,163.58,8.495851944,8.440693021,0.325679904,TRUE
E5-PEAK-QC1,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.908,,downgradient,6.9,1584,1067,96.01,43.38,115.91,5.02,479.11,36.41,81.45,203.54,13.53031066,13.85767972,-1.195301506,TRUE
E7-END-QC1,E7-END,21,dry_return,groundwater,BH3,10.872,-0.908,,downgradient,7.2,1403,898,111.55,20.27,102.68,6.66,314.54,57.84,71.54,199.96,11.87168274,11.50082918,1.586708212,TRUE
E1-DRY-AWQC,E1-DRY,5,dry,groundwater,AW3,,,,supplementary,7.2,813,663,96.3,25.04,40.46,9.7,324.13,69.49,41.24,42.89,8.873794986,8.822543653,0.289615462,TRUE
E5-PEAK-AWQC,E5-PEAK,13,wet_peak,groundwater,AW3,,,,supplementary,6.6,991,681,85.27,26.84,53.86,7.38,262.46,35.22,76.79,127.69,8.995688224,8.953082655,0.237373185,TRUE
E7-END-AWQC,E7-END,21,dry_return,groundwater,AW3,,,,supplementary,6.9,1096,647,88.38,24.02,58.83,2.02,269.51,84.21,82.09,28.42,8.997650022,8.959754216,0.211031652,TRUE
E4-POST2-L3-30-QC,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30,low_input,5.9,457,358,47.9,15.19,32.68,1.78,159.82,10.68,4.93,76.22,5.052375642,4.186557118,9.371412768,FALSE
E4-POST2-L4-30-QC,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,30,high_input_manure,5.6,1041,628,100.54,21.96,34.29,5.29,169.39,65.5,37.58,186.61,8.605845256,8.437694033,0.986598031,TRUE
E3-POST1-L3-30-QC,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,30,low_input,6.7,395,300,45.53,22.7,17.47,3.32,103.25,37.17,11.14,51.74,4.918360788,3.752854514,13.44109485,FALSE
E3-POST1-L4-30-QC,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30,high_input_manure,5.8,866,678,71.92,24.65,26.36,4.25,138.92,22.81,15.63,369.64,6.809804401,9.282910337,-15.3678604,FALSE
E2-PRE-L3-60-QC,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60,low_input,5.9,331,286,36.26,13.19,34.17,3.36,121.85,39.43,23.61,12.51,4.394872875,3.802011495,7.232764952,FALSE
E2-PRE-L4-30-QC,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,30,high_input_manure,5.6,710,439,65.58,18.25,13.56,10.84,212.67,35.84,12.33,62.64,5.588663985,5.68873243,-0.887336415,TRUE
