PairID,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,Cations_meqL,Anions_meqL,CBE_pct,CBE_pass
E1-DRY-AW1,E1-DRY,5,dry,groundwater,AW1,10.865,-0.895,,supplementary,7.3,1121,768,87.83,28.42,89.9,2.03,304,111.6,44.6,94.3,10.7,10.6,0.5,True
E1-DRY-AW2,E1-DRY,5,dry,groundwater,AW2,10.863,-0.892,,supplementary,6.8,1131,642,95.04,10.67,69.89,4.11,251,91.95,8.58,104.99,8.8,8.6,1.1,True
E1-DRY-AW3,E1-DRY,5,dry,groundwater,AW3,10.861,-0.889,,supplementary,7.1,834,646,92.41,24.52,41.0,9.84,322,68.85,39.24,41.56,8.7,8.7,-0.3,True
E1-DRY-AW4,E1-DRY,5,dry,groundwater,AW4,10.859,-0.886,,supplementary,6.6,1263,847,109.98,24.05,74.94,4.5,420,48.89,80.47,79.13,10.8,11.2,-1.7,True
E1-DRY-AW5,E1-DRY,5,dry,groundwater,AW5,10.857,-0.883,,supplementary,6.7,1274,856,118.74,14.46,99.88,8.03,288,111.68,65.93,137.66,11.7,11.5,0.9,True
E1-DRY-AW6,E1-DRY,5,dry,groundwater,AW6,10.855,-0.88,,supplementary,6.9,803,526,40.42,32.46,54.18,2.87,178,78.79,9.71,119.0,7.1,7.3,-1.0,True
E1-DRY-AW7,E1-DRY,5,dry,groundwater,AW7,10.853,-0.877,,supplementary,6.9,1033,704,82.13,19.26,80.77,8.65,260,113.61,8.15,121.1,9.4,9.6,-0.9,True
E1-DRY-AW8,E1-DRY,5,dry,groundwater,AW8,10.851,-0.874,,supplementary,7.5,604,447,30.66,19.55,63.65,1.8,201,57.7,7.54,53.48,6.0,5.9,0.2,True
E1-DRY-BH1,E1-DRY,5,dry,groundwater,BH1,10.878,-0.915,,upgradient,8.0,835,639,107.23,25.94,26.89,7.32,254,109.55,47.37,48.8,8.8,9.0,-1.0,True
E1-DRY-BH2,E1-DRY,5,dry,groundwater,BH2,10.875,-0.912,,downgradient,7.2,799,543,99.59,16.73,21.53,3.7,169,35.88,76.41,115.36,7.4,7.2,1.0,True
