Category,EventCode,Month,Season,SoilSite,Latitude,Longitude,Depth_cm,Soil_pH,NO3_N_mgkg,NH4_N_mgkg,OrgC_pct,TotalN_pct,Sand_pct,Silt_pct,Clay_pct,BulkDensity_gcm3,CEC_cmolkg,SampleID,QC_Type,TargetSampleID
QC,E1-DRY,5,dry,S1,10.891,-0.927,15,6.274571277281936,27.26022302321362,8.473805746916634,0.9339623213501822,0.0792877639858336,64.02245308151711,22.820076276427496,12.092993772624355,1.4743958992782666,5.8483797942218985,E1-DRY-QC1-S,duplicate,E1-S1-15cm
QC,E1-DRY,5,dry,S1,10.891,-0.927,15,6.207300244556981,25.588031708564923,8.185260336698395,0.9422057028429848,0.0799987508241473,62.5779337805248,24.941200270461405,11.099142090253183,1.5766598085395818,6.0557452617880925,E1-DRY-QC2-S,duplicate,E1-S1-15cm
QC,E2-PRE,9,transition,S1,10.891,-0.927,15,6.639808401192306,15.676146677664372,3.392081096687217,0.484598239233991,0.0545505619446537,77.85891109456112,8.563409409453135,16.465565876725854,1.4383119319923432,6.829124855705361,E2-PRE-QC1-S,duplicate,E2-PRE-S1-15cm
QC,E2-PRE,9,transition,S1,10.891,-0.927,15,6.706724602224639,17.767375542412292,3.2851720892846723,0.4568830860412575,0.0565782536414851,75.54255157697632,7.398342138404176,16.26098890817733,1.3717059515839276,6.881219039603322,E2-PRE-QC2-S,duplicate,E2-PRE-S1-15cm
QC,E2-PRE,9,transition,S1,10.891,-0.927,15,6.6931008673992896,16.380553615130992,3.4244153062645304,0.4698278169856103,0.0549860836279749,75.01372262518112,8.606606349568315,16.07998663753018,1.3435095359722942,7.287852741811217,E2-PRE-QC3-S,duplicate,E2-PRE-S1-15cm
QC,E3-POST1,10,wet,S1,10.891,-0.927,15,7.083916361206088,23.75566995498752,13.9972662874965,1.144088647514501,0.0854769977801666,46.67037260921928,43.25795655325306,9.060537299896232,1.441228578980667,11.767531260499776,E3-POST1-QC1-S,duplicate,E3-POST1-S1-15cm
QC,E3-POST1,10,wet,S1,10.891,-0.927,15,7.063207602244795,21.61407997217766,14.39794262522442,1.1374053198637049,0.0859914051909397,47.09904840742372,43.45166293314004,9.734464019199768,1.3215442557194876,12.954724951736528,E3-POST1-QC2-S,duplicate,E3-POST1-S1-15cm
QC,E3-POST1,10,wet,S1,10.891,-0.927,15,7.144362804201946,23.40522270451594,13.875139372867356,1.1002315383016754,0.0747590944691065,49.10995388388591,41.883926146029125,8.35790886744603,1.4212218243233588,13.681431932639043,E3-POST1-QC3-S,duplicate,E3-POST1-S1-15cm
QC,E5-PEAK,13,wet_peak,S2,10.888,-0.924,15,6.39080333121032,18.852878809504126,9.605418243671425,2.036202150425764,0.2022868142412814,78.40524191625175,5.621121418892446,17.294152136816663,1.3829827897201836,11.36326948841127,E5-PEAK-QC1-S,duplicate,E5-PEAK-S2-15cm
QC,E5-PEAK,13,wet_peak,S2,10.888,-0.924,15,6.483138980495339,17.83724812755472,8.943610491447231,1.9632721870999947,0.1873642851536234,82.00729293282825,5.425658178714353,18.982931007923007,1.3482290169494693,11.080458873086313,E5-PEAK-QC2-S,duplicate,E5-PEAK-S2-15cm
QC,E5-PEAK,13,wet_peak,S2,10.888,-0.924,15,6.371830508159216,17.962181040886247,8.698052801745506,1.8444424914727091,0.1738106733115256,75.28586093546353,5.178678295271319,19.51445260586823,1.4059813916699797,10.998880386227178,E5-PEAK-QC3-S,duplicate,E5-PEAK-S2-15cm
QC,E7-END,21,dry_return,S2,10.888,-0.924,15,6.598976067384661,8.590752388583233,2.6267707255697275,0.8611778716485226,0.0803789711930591,57.02609893438293,21.82385392487669,22.01497718141975,1.542091112835496,11.675778531375194,E7-END-QC1-S,duplicate,E7-END-S2-15cm
QC,E7-END,21,dry_return,S2,10.888,-0.924,15,6.59858227303999,8.571172450137423,2.7246106152187037,0.8079450148826711,0.0971261752574276,56.52802659283555,21.22075255639849,19.68789417186734,1.3882621884533215,11.170989588453567,E7-END-QC2-S,duplicate,E7-END-S2-15cm
QC,E7-END,21,dry_return,S2,10.888,-0.924,15,6.622029496507114,9.153512580042095,2.381100129778618,0.8432035991388225,0.0865526290319833,57.11615818897904,23.77344269108097,22.255133871396797,1.5053395111460537,11.591326480093707,E7-END-QC3-S,duplicate,E7-END-S2-15cm
