SampleID,Category,EventCode,Month,Season,SoilSite,Latitude,Longitude,Depth_cm,Soil_pH,NO3_N_mgkg,NH4_N_mgkg,OrgC_pct,TotalN_pct,Sand_pct,Silt_pct,Clay_pct,BulkDensity_gcm3,CEC_cmolkg
E1-S1-15cm,Routine,E1-DRY,5,dry,S1,10.891,-0.927,15,6.225884936448916,25.333230511968186,8.070940360887807,0.9545627550933008,0.0777188912368381,64.1,23.9,11.9,1.5667594882706817,5.520547755132469
E1-S1-30cm,Routine,E1-DRY,5,dry,S1,10.891,-0.927,30,6.485753397621938,18.73823207149952,5.438868912938629,0.9242706709029356,0.0815080893702414,60.0,19.8,20.2,1.507518646334822,14.456699826182518
E1-S1-45cm,Routine,E1-DRY,5,dry,S1,10.891,-0.927,45,6.268348903605005,16.0715768079656,3.526805922468686,0.7787468739641733,0.0663021155632816,56.3,31.8,11.9,1.4270748736349823,9.169660685343253
E1-S1-60cm,Routine,E1-DRY,5,dry,S1,10.891,-0.927,60,6.1763838211165405,7.155113105790846,6.660107231440596,0.7867105698473059,0.1007157810487802,75.8,5.1,19.1,1.3265011485942837,11.177825652557852
E1-S2-15cm,Routine,E1-DRY,5,dry,S2,10.888,-0.924,15,6.791067596989317,25.869658125933224,7.577834173700249,0.5766256434580781,0.0805248264077157,70.6,13.5,15.9,1.4577146975034792,8.200432052285526
E1-S2-30cm,Routine,E1-DRY,5,dry,S2,10.888,-0.924,30,5.963723044544918,7.427184898323,5.853338426323666,1.1452947547103756,0.1284444185641676,71.5,14.6,13.9,1.5493048096475417,11.492963204152094
E1-S2-45cm,Routine,E1-DRY,5,dry,S2,10.888,-0.924,45,5.983074894130969,16.514513066977987,6.659614172525036,0.7392570426068193,0.1031625885270451,74.5,8.7,16.9,1.4140656607496696,10.611059701265397
E1-S2-60cm,Routine,E1-DRY,5,dry,S2,10.888,-0.924,60,6.269012270554457,14.557379183550209,8.178702279686787,0.9015868048982792,0.1168132449152185,46.3,40.6,13.2,1.423120843159364,6.488552338064866
E1-S3-15cm,Routine,E1-DRY,5,dry,S3,10.885,-0.919,15,5.565517850758681,20.074468593630563,8.005943333606172,1.1777969644193902,0.1222775746979929,63.0,13.3,23.6,1.4701044512645105,10.755242521178
E1-S3-30cm,Routine,E1-DRY,5,dry,S3,10.885,-0.919,30,6.206063247221149,7.799324920035498,9.157047376420724,1.0873902990232107,0.1477064364451299,58.3,18.8,22.9,1.4833913851257523,11.471200635099317
E1-S3-45cm,Routine,E1-DRY,5,dry,S3,10.885,-0.919,45,6.15276381854278,9.44023241332968,3.3617206348785778,1.197214822337783,0.1015898516919369,69.3,16.8,13.9,1.4780428652475204,10.41712901653619
E1-S3-60cm,Routine,E1-DRY,5,dry,S3,10.885,-0.919,60,6.389941389059991,16.457222071930822,6.183557269370423,0.8441526227179929,0.111192516979319,66.2,12.8,21.0,1.4868282095874703,7.138070468211797
E1-S4-15cm,Routine,E1-DRY,5,dry,S4,10.882,-0.916,15,5.873954534769851,9.840652353408329,2.25811906949487,0.8931713534758663,0.0911499813224951,49.7,25.9,24.4,1.49062061362492,10.84423958750483
E1-S4-30cm,Routine,E1-DRY,5,dry,S4,10.882,-0.916,30,5.6390364370023125,13.906770915162,2.7509821583556957,0.6987146675826469,0.0771160980132567,67.4,20.9,11.7,1.5844600665874955,12.662390496276352
E1-S4-45cm,Routine,E1-DRY,5,dry,S4,10.882,-0.916,45,6.334622851627917,17.430695281791856,2.3200250489673,1.3717541478974833,0.1145275174963245,69.3,6.0,24.7,1.4289080778058925,9.897373768411033
E1-S4-60cm,Routine,E1-DRY,5,dry,S4,10.882,-0.916,60,6.333110313618002,13.34417811287078,2.360626183170564,0.5276351349736379,0.0454097300057584,62.8,12.2,24.9,1.520955053579708,13.579669740955309
E2-PRE-S1-15cm,Routine,E2-PRE,9,transition,S1,10.891,-0.927,15,6.679821654176529,16.226001213368917,3.307103767401995,0.4802857110425338,0.053610685938025,76.0,8.3,15.6,1.409431368469391,6.912509648977378
E2-PRE-S1-45cm,Routine,E2-PRE,9,transition,S1,10.891,-0.927,45,6.903123723384401,12.23165872369608,1.899281379857825,0.7391724897585702,0.0916698532728213,59.6,24.3,16.2,1.4303004441398013,10.971179009409797
E2-PRE-S2-15cm,Routine,E2-PRE,9,transition,S2,10.888,-0.924,15,5.7084353724903485,11.788834982388996,11.758737549100536,1.0641759719227044,0.0859079959820436,77.8,12.3,9.9,1.293187359336493,14.769066930309211
E2-PRE-S2-45cm,Routine,E2-PRE,9,transition,S2,10.888,-0.924,45,5.9427760180359055,11.848284928653596,6.084163164318899,0.8359690205702063,0.0831626626419169,58.2,27.1,14.7,1.5916936261994887,9.387078415348416
E2-PRE-S3-15cm,Routine,E2-PRE,9,transition,S3,10.885,-0.919,15,6.032370904536033,16.502474977329406,4.546706220460512,1.3639666405886266,0.1654328982470883,74.4,16.9,8.7,1.4429325872792724,11.944960663701693
E2-PRE-S3-45cm,Routine,E2-PRE,9,transition,S3,10.885,-0.919,45,6.984227202002064,10.640036186006489,7.325402262840557,1.2750676968675716,0.170485558713485,47.3,35.9,16.8,1.5107977714351293,8.559738654366765
E3-POST1-S1-15cm,Routine,E3-POST1,10,wet,S1,10.891,-0.927,15,7.105354899010649,22.833144914610784,13.744850820940234,1.047787365878958,0.0864428495953591,47.5,43.3,9.2,1.3858005813430685,12.802143258469211
E3-POST1-S1-45cm,Routine,E3-POST1,10,wet,S1,10.891,-0.927,45,6.0276330228158805,27.84906241550681,5.200140166210817,0.3852286749094543,0.0487234191926077,51.1,39.2,9.7,1.5688563323730398,11.12747474662645
E3-POST1-S2-15cm,Routine,E3-POST1,10,wet,S2,10.888,-0.924,15,6.698419074322326,39.77055946021507,6.085308932933327,0.7351217190006887,0.0863619629120501,49.2,32.3,18.5,1.501334994972372,13.235616405666104
E3-POST1-S2-45cm,Routine,E3-POST1,10,wet,S2,10.888,-0.924,45,6.186656811109061,31.763354462155377,6.653097495463024,0.8635071790794616,0.1192583950649955,65.5,13.7,20.7,1.5170636863239706,13.08267121490629
E3-POST1-S3-15cm,Routine,E3-POST1,10,wet,S3,10.885,-0.919,15,6.154018908182846,30.80308987509956,8.582505357562699,0.7062766164313479,0.095831155709794,60.1,24.4,15.5,1.4963554058293809,10.29175895963948
E3-POST1-S3-45cm,Routine,E3-POST1,10,wet,S3,10.885,-0.919,45,6.226475547383561,34.277359655964176,11.418445970845282,0.7339902957963763,0.0674157090595111,55.0,23.1,21.9,1.460630262897087,11.152045994539298
E5-PEAK-S1-15cm,Routine,E5-PEAK,13,wet_peak,S1,10.891,-0.927,15,6.200523549526581,21.755285574717103,9.764474464997246,1.5625709516069972,0.203946624931028,68.0,21.0,11.0,1.4761019736677348,9.980807524378656
E5-PEAK-S1-45cm,Routine,E5-PEAK,13,wet_peak,S1,10.891,-0.927,45,6.382251299985848,11.904531293354868,3.721602296796048,0.8199373625987729,0.1013104721694841,62.7,15.0,22.3,1.498706641007917,14.767512306627603
E5-PEAK-S2-15cm,Routine,E5-PEAK,13,wet_peak,S2,10.888,-0.924,15,6.396301271795427,17.99550583575737,8.888853020500907,1.910589089963138,0.186956696686561,75.6,5.6,18.8,1.4002097444007358,11.863460627553897
E5-PEAK-S2-45cm,Routine,E5-PEAK,13,wet_peak,S2,10.888,-0.924,45,6.319812784403236,10.854309723799556,10.726289562144272,0.8431317799663339,0.0799295098047581,48.5,36.7,14.8,1.427558124015622,11.392698723038055
E5-PEAK-S3-15cm,Routine,E5-PEAK,13,wet_peak,S3,10.885,-0.919,15,6.967961801740563,9.32456889615457,5.553845686857394,1.1381350354380433,0.1331152801707147,72.4,10.1,17.4,1.3340114747615277,7.481483561104362
E5-PEAK-S3-45cm,Routine,E5-PEAK,13,wet_peak,S3,10.885,-0.919,45,6.238324176675394,13.957844882713344,5.114785774561635,0.5628796614142565,0.0746373059529249,60.7,19.0,20.3,1.4919747780601509,12.580628944248426
E7-END-S1-15cm,Routine,E7-END,21,dry_return,S1,10.891,-0.927,15,5.732653706826787,7.080456590106967,8.195893374598407,0.3837169158067285,0.0467125802497151,57.4,21.1,21.5,1.4644893208168848,8.184081428770419
E7-END-S1-45cm,Routine,E7-END,21,dry_return,S1,10.891,-0.927,45,7.30570060938491,10.74979734285164,6.853361291635713,0.7463939704345357,0.0626158975477485,64.6,17.1,18.3,1.555925002064917,11.64387496117677
E7-END-S2-15cm,Routine,E7-END,21,dry_return,S2,10.888,-0.924,15,6.611344430466655,8.92645697835828,2.585509292439792,0.8070849992850133,0.0886948811606022,56.7,22.0,21.3,1.5258260642269772,12.13192012482382
E7-END-S2-45cm,Routine,E7-END,21,dry_return,S2,10.888,-0.924,45,5.310574854834621,7.602409420116395,5.706174295564877,1.1303278238703118,0.1004264075277905,48.1,40.1,11.8,1.5950759794593703,11.373160340935067
E7-END-S3-15cm,Routine,E7-END,21,dry_return,S3,10.885,-0.919,15,5.890325270268318,26.6412904520058,3.183361909233873,1.648932398216966,0.194855399918139,59.3,18.4,22.3,1.545891309759284,6.000167168095637
E7-END-S3-45cm,Routine,E7-END,21,dry_return,S3,10.885,-0.919,45,5.9186607227512456,7.681391109274152,2.035770376788583,0.9720255205169772,0.0988881672646639,45.8,32.0,22.1,1.4852708997528965,6.135711794299662
