PairID,Category,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,BottleType,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil,SampleID,QC_Type,TargetSampleID
E1-DRY-QC1,QC,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30.0,A,high_input,6.4,702.0,511.0,40.49,23.9,54.37,4.2,,,,,,,,,E1-DRY-QC1-A,duplicate,E1-DRY-L1-30cm-A
E1-DRY-QC1,QC,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30.0,U,high_input,6.4,702.0,511.0,,,,,297.94,29.14,12.88,41.95,,,,,E1-DRY-QC1-U,duplicate,E1-DRY-L1-30cm-U
E1-DRY-QC2,QC,E1-DRY,5,dry,groundwater,BH2,10.875,-0.912,,A,downgradient,7.3,811.0,555.0,100.84,17.03,22.86,3.58,,,,,,,,,E1-DRY-QC2-A,duplicate,E1-DRY-BH2-A
E1-DRY-QC2,QC,E1-DRY,5,dry,groundwater,BH2,10.875,-0.912,,U,downgradient,7.3,811.0,555.0,,,,,171.45,34.89,75.45,114.34,,,,,E1-DRY-QC2-U,duplicate,E1-DRY-BH2-U
E2-PRE-QC1,QC,E2-PRE,9,transition,groundwater,BH3,10.872,-0.908,,A,downgradient,7.4,1093.0,684.0,60.35,18.76,108.04,7.92,,,,,,,,,E2-PRE-QC1-A,duplicate,E2-PRE-BH3-A
E2-PRE-QC1,QC,E2-PRE,9,transition,groundwater,BH3,10.872,-0.908,,U,downgradient,7.4,1093.0,684.0,,,,,119.09,143.14,72.04,139.71,,,,,E2-PRE-QC1-U,duplicate,E2-PRE-BH3-U
E3-POST1-QC1,QC,E3-POST1,10,wet,groundwater,BH3,10.872,-0.908,,A,downgradient,7.0,791.0,582.0,36.32,34.55,85.54,4.68,,,,,,,,,E3-POST1-QC1-A,duplicate,E3-POST1-BH3-A
E3-POST1-QC1,QC,E3-POST1,10,wet,groundwater,BH3,10.872,-0.908,,U,downgradient,7.0,791.0,582.0,,,,,90.35,143.26,13.49,163.58,,,,,E3-POST1-QC1-U,duplicate,E3-POST1-BH3-U
E5-PEAK-QC1,QC,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.908,,A,downgradient,6.9,1584.0,1067.0,96.01,43.38,115.91,5.02,,,,,,,,,E5-PEAK-QC1-A,duplicate,E5-PEAK-BH3-A
E5-PEAK-QC1,QC,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.908,,U,downgradient,6.9,1584.0,1067.0,,,,,479.11,36.41,81.45,203.54,,,,,E5-PEAK-QC1-U,duplicate,E5-PEAK-BH3-U
