SampleID,PairID,Category,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,BottleType,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil
E1-DRY-AW1-A,E1-DRY-AW1,Routine,E1-DRY,5,dry,groundwater,AW1,10.865,-0.895,,A,supplementary,7.3,1121.0,768.0,87.83,28.42,89.9,2.03,,,,,,,,
E1-DRY-AW1-U,E1-DRY-AW1,Routine,E1-DRY,5,dry,groundwater,AW1,10.865,-0.895,,U,supplementary,7.3,1121.0,768.0,,,,,304.0,111.6,44.6,94.3,,,,
E1-DRY-AW1-W,E1-DRY-AW1,Routine,E1-DRY,5,dry,groundwater,AW1,10.865,-0.895,,W,supplementary,7.3,1121.0,768.0,,,,,,,,,,,-12.411878343937763,-3.107061628804277
E1-DRY-AW2-A,E1-DRY-AW2,Routine,E1-DRY,5,dry,groundwater,AW2,10.863,-0.892,,A,supplementary,6.8,1131.0,642.0,95.04,10.67,69.89,4.11,,,,,,,,
E1-DRY-AW2-U,E1-DRY-AW2,Routine,E1-DRY,5,dry,groundwater,AW2,10.863,-0.892,,U,supplementary,6.8,1131.0,642.0,,,,,251.0,91.95,8.58,104.99,,,,
E1-DRY-AW2-W,E1-DRY-AW2,Routine,E1-DRY,5,dry,groundwater,AW2,10.863,-0.892,,W,supplementary,6.8,1131.0,642.0,,,,,,,,,,,-18.477784275485,-4.046297092871594
E1-DRY-AW3-A,E1-DRY-AW3,Routine,E1-DRY,5,dry,groundwater,AW3,10.861,-0.889,,A,supplementary,7.1,834.0,646.0,92.41,24.52,41.0,9.84,,,,,,,,
E1-DRY-AW3-U,E1-DRY-AW3,Routine,E1-DRY,5,dry,groundwater,AW3,10.861,-0.889,,U,supplementary,7.1,834.0,646.0,,,,,322.0,68.85,39.24,41.56,,,,
E1-DRY-AW3-W,E1-DRY-AW3,Routine,E1-DRY,5,dry,groundwater,AW3,10.861,-0.889,,W,supplementary,7.1,834.0,646.0,,,,,,,,,,,-11.365026114952933,-3.061062060428874
E1-DRY-AW4-A,E1-DRY-AW4,Routine,E1-DRY,5,dry,groundwater,AW4,10.859,-0.886,,A,supplementary,6.6,1263.0,847.0,109.98,24.05,74.94,4.5,,,,,,,,
E1-DRY-AW4-U,E1-DRY-AW4,Routine,E1-DRY,5,dry,groundwater,AW4,10.859,-0.886,,U,supplementary,6.6,1263.0,847.0,,,,,420.0,48.89,80.47,79.13,,,,
E1-DRY-AW4-W,E1-DRY-AW4,Routine,E1-DRY,5,dry,groundwater,AW4,10.859,-0.886,,W,supplementary,6.6,1263.0,847.0,,,,,,,,,,,-5.943622824501837,-2.538471603230769
E1-DRY-AW5-A,E1-DRY-AW5,Routine,E1-DRY,5,dry,groundwater,AW5,10.857,-0.883,,A,supplementary,6.7,1274.0,856.0,118.74,14.46,99.88,8.03,,,,,,,,
E1-DRY-AW5-U,E1-DRY-AW5,Routine,E1-DRY,5,dry,groundwater,AW5,10.857,-0.883,,U,supplementary,6.7,1274.0,856.0,,,,,288.0,111.68,65.93,137.66,,,,
E1-DRY-AW5-W,E1-DRY-AW5,Routine,E1-DRY,5,dry,groundwater,AW5,10.857,-0.883,,W,supplementary,6.7,1274.0,856.0,,,,,,,,,,,-15.274544279665406,-3.538136197031278
E1-DRY-AW6-A,E1-DRY-AW6,Routine,E1-DRY,5,dry,groundwater,AW6,10.855,-0.88,,A,supplementary,6.9,803.0,526.0,40.42,32.46,54.18,2.87,,,,,,,,
E1-DRY-AW6-U,E1-DRY-AW6,Routine,E1-DRY,5,dry,groundwater,AW6,10.855,-0.88,,U,supplementary,6.9,803.0,526.0,,,,,178.0,78.79,9.71,119.0,,,,
E1-DRY-AW6-W,E1-DRY-AW6,Routine,E1-DRY,5,dry,groundwater,AW6,10.855,-0.88,,W,supplementary,6.9,803.0,526.0,,,,,,,,,,,-15.758129488865109,-3.813643967698261
E1-DRY-AW7-A,E1-DRY-AW7,Routine,E1-DRY,5,dry,groundwater,AW7,10.853,-0.877,,A,supplementary,6.9,1033.0,704.0,82.13,19.26,80.77,8.65,,,,,,,,
