event_code,collection_date,station_code,hydraulic_head_m
E1,2/10/2024,BH1,319.445
E1,2/10/2024,BH2,318.817
E1,2/10/2024,BH3,318.086
E1,2/10/2024,BH4,317.357
E2,5/25/2024,BH1,319.972
E2,5/25/2024,BH2,319.326
E2,5/25/2024,BH3,318.569
E2,5/25/2024,BH4,317.9
E3,8/20/2024,BH1,319.859
E3,8/20/2024,BH2,319.164
E3,8/20/2024,BH3,318.372
E3,8/20/2024,BH4,317.641
E4,11/15/2024,BH1,319.608
E4,11/15/2024,BH2,318.965
E4,11/15/2024,BH3,318.161
E4,11/15/2024,BH4,317.451
E5,2/5/2025,BH1,319.537
E5,2/5/2025,BH2,318.952
E5,2/5/2025,BH3,318.088
E5,2/5/2025,BH4,317.408
E6,6/10/2025,BH1,319.824
E6,6/10/2025,BH2,319.2
E6,6/10/2025,BH3,318.388
E6,6/10/2025,BH4,317.698
E7,9/15/2025,BH1,319.884
E7,9/15/2025,BH2,319.304
E7,9/15/2025,BH3,318.494
E7,9/15/2025,BH4,317.779
