event_code,event_date,cluster_code,irrigation_7d_mm,irrigation_method
E1,2024-02-10,CLUSTER_A,33.2,furrow
E1,2024-02-10,CLUSTER_B,23.1,drip
E2,2024-05-25,CLUSTER_A,0.4,furrow
E2,2024-05-25,CLUSTER_B,7.7,drip
E3,2024-08-20,CLUSTER_A,3.7,furrow
E3,2024-08-20,CLUSTER_B,2.1,drip
E4,2024-11-15,CLUSTER_A,8.2,furrow
E4,2024-11-15,CLUSTER_B,8.0,drip
E5,2025-02-05,CLUSTER_A,31.9,furrow
E5,2025-02-05,CLUSTER_B,33.5,drip
E6,2025-06-10,CLUSTER_A,1.8,furrow
E6,2025-06-10,CLUSTER_B,5.7,drip
E7,2025-09-15,CLUSTER_A,6.5,furrow
E7,2025-09-15,CLUSTER_B,2.0,drip
