sample_code,event_code,event_label,station_code,station_type,sample_suffix,matrix,collection_date,replicate_group,qa_flag,Ca_mg_L,Mg_mg_L,K_mg_L,Na_mg_L,temp_C,pH,EC_uS_cm,TDS_mg_L,NO3_mg_L,Cl_mg_L,SO4_mg_L,HCO3_mg_L,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil
E1-L1-A,E1,E1-DRY,L1,lysimeter,A,soil_water,2024-02-10,,OK,25.92,9.84,4.56,14.96,26.44,6.49,269.3,176.8,,,,,,,,
E1-L1-U,E1,E1-DRY,L1,lysimeter,U,soil_water,2024-02-10,,OK,,,,,26.44,6.49,269.3,176.8,9.26,18.29,24.51,162.04,,,,
E1-L1-I,E1,E1-DRY,L1,lysimeter,I,soil_water,2024-02-10,,OK,,,,,26.44,6.49,269.3,176.8,,,,,7.2,13.16,,
E1-L1-W,E1,E1-DRY,L1,lysimeter,W,soil_water,2024-02-10,,OK,,,,,26.44,6.49,269.3,176.8,,,,,,,-2.51,-1.69
E1-L2-A,E1,E1-DRY,L2,lysimeter,A,soil_water,2024-02-10,,OK,29.47,11.77,5.4,15.39,27.51,6.17,264.6,185.5,,,,,,,,
E1-L2-U,E1,E1-DRY,L2,lysimeter,U,soil_water,2024-02-10,,OK,,,,,27.51,6.17,264.6,185.5,20.4,17.23,23.55,139.91,,,,
E1-L2-I,E1,E1-DRY,L2,lysimeter,I,soil_water,2024-02-10,,OK,,,,,27.51,6.17,264.6,185.5,,,,,7.77,8.42,,
E1-L2-W,E1,E1-DRY,L2,lysimeter,W,soil_water,2024-02-10,,OK,,,,,27.51,6.17,264.6,185.5,,,,,,,-3.42,-1.69
E1-BH1-A,E1,E1-DRY,BH1,borehole,A,groundwater,2024-02-10,,OK,43.54,18.02,5.91,21.75,25.93,7.02,454.2,298.0,,,,,,,,
E1-BH1-U,E1,E1-DRY,BH1,borehole,U,groundwater,2024-02-10,,OK,,,,,25.93,7.02,454.2,298.0,14.43,35.56,32.67,227.16,,,,
E1-BH1-I,E1,E1-DRY,BH1,borehole,I,groundwater,2024-02-10,,OK,,,,,25.93,7.02,454.2,298.0,,,,,5.94,12.08,,
E1-BH1-W,E1,E1-DRY,BH1,borehole,W,groundwater,2024-02-10,,OK,,,,,25.93,7.02,454.2,298.0,,,,,,,-1.62,-1.6
E1-BH2-A,E1,E1-DRY,BH2,borehole,A,groundwater,2024-02-10,,OK,52.76,16.37,6.34,24.79,27.02,6.87,484.5,353.3,,,,,,,,
E1-BH2-U,E1,E1-DRY,BH2,borehole,U,groundwater,2024-02-10,,OK,,,,,27.02,6.87,484.5,353.3,18.55,29.96,33.0,251.79,,,,
E1-BH2-I,E1,E1-DRY,BH2,borehole,I,groundwater,2024-02-10,,OK,,,,,27.02,6.87,484.5,353.3,,,,,7.54,12.55,,
