date,rain_mm,tair_C
2024-01-11,0.0,26.9
2024-01-12,0.0,26.0
2024-01-13,0.0,27.3
2024-01-14,0.0,26.5
2024-01-15,2.6,27.5
2024-01-16,9.9,26.8
2024-01-17,4.3,26.9
2024-01-18,2.8,25.9
2024-01-19,17.9,26.7
2024-01-20,0.0,27.0
2024-01-21,0.0,26.9
2024-01-22,1.8,26.5
2024-01-23,11.4,26.0
2024-01-24,0.0,26.8
2024-01-25,0.0,26.7
2024-01-26,0.0,26.9
2024-01-27,17.7,26.1
2024-01-28,0.0,27.0
2024-01-29,0.0,27.2
2024-01-30,0.0,27.3
2024-01-31,0.0,26.4
2024-02-01,6.3,25.9
2024-02-02,0.0,27.0
2024-02-03,0.0,27.2
2024-02-04,8.2,27.7
2024-02-05,25.7,27.4
2024-02-06,0.0,26.8
2024-02-07,0.0,27.4
2024-02-08,6.2,27.3
2024-02-09,0.0,26.6
2024-02-10,0.0,27.2
2024-02-11,0.0,26.8
2024-02-12,10.0,27.3
2024-02-13,26.1,27.5
2024-02-14,2.8,28.0
2024-02-15,0.0,27.5
2024-02-16,0.0,27.3
2024-02-17,0.0,27.6
2024-02-18,0.0,27.5
2024-02-19,0.0,28.0
2024-02-20,0.0,28.1
2024-02-21,15.0,28.1
2024-02-22,9.3,27.8
2024-02-23,0.0,27.8
2024-02-24,0.0,27.1
2024-02-25,16.8,26.7
2024-02-26,0.0,27.6
2024-02-27,0.0,28.6
2024-02-28,0.0,27.8
2024-02-29,0.0,28.4
2024-03-01,0.0,27.5
2024-03-02,0.0,28.4
2024-03-03,0.0,27.6
2024-03-04,0.0,28.4
2024-03-05,9.8,27.9
2024-03-06,0.0,28.1
2024-03-07,4.9,29.0
2024-03-08,0.0,28.6
2024-03-09,0.0,28.1
2024-03-10,0.0,28.1
2024-03-11,0.0,28.1
2024-03-12,0.0,28.1
2024-03-13,20.3,27.6
2024-03-14,11.5,28.2
2024-03-15,0.0,27.9
2024-03-16,0.0,28.0
