event_code,collection_date,station_code,depth_cm_top,depth_cm_bottom,soil_moisture_vwc,bulk_density_g_cm3,NO3_mg_kg,depth_cm_mid,cluster_code,soil_texture,clay_pct,sand_pct,silt_pct,SOC_g_kg,pH_H2O,Ksat_m_day,water_table_depth_m,denit_potential_index
E1,2024-02-10,L1,0,20,0.153,1.39,26.93,10.0,CLUSTER_A,clay_loam,33.2,34.0,32.8,5.61,6.89,0.324,8.42,0.337
E1,2024-02-10,L1,20,40,0.173,1.33,13.44,30.0,CLUSTER_A,clay_loam,27.8,39.4,32.8,8.97,5.82,0.343,6.17,0.529
E1,2024-02-10,L1,40,60,0.146,1.34,7.1,50.0,CLUSTER_A,clay_loam,35.0,38.7,26.3,7.06,6.04,0.252,7.53,0.531
E1,2024-02-10,L2,0,20,0.203,1.32,31.49,10.0,CLUSTER_B,clay_loam,35.8,39.3,24.9,8.02,5.93,0.437,9.93,0.45
E1,2024-02-10,L2,20,40,0.181,1.41,11.54,30.0,CLUSTER_B,clay_loam,24.2,43.2,32.6,8.96,6.14,0.279,9.52,0.536
E1,2024-02-10,L2,40,60,0.213,1.38,12.33,50.0,CLUSTER_B,clay_loam,26.8,39.3,33.9,8.89,5.75,0.19,8.55,0.644
E2,2024-05-25,L1,0,20,0.298,1.29,60.28,10.0,CLUSTER_A,clay_loam,32.5,42.1,25.4,9.33,6.55,0.185,8.04,0.574
E2,2024-05-25,L1,20,40,0.283,1.37,42.61,30.0,CLUSTER_A,clay_loam,30.7,38.4,30.9,7.8,6.21,0.382,8.84,0.598
E2,2024-05-25,L1,40,60,0.3,1.27,35.04,50.0,CLUSTER_A,clay_loam,31.9,39.7,28.4,7.15,5.71,0.771,7.35,0.676
E2,2024-05-25,L2,0,20,0.285,1.28,57.95,10.0,CLUSTER_B,clay_loam,28.6,41.8,29.6,7.84,5.89,0.379,8.68,0.521
E2,2024-05-25,L2,20,40,0.283,1.36,38.35,30.0,CLUSTER_B,clay_loam,35.5,29.3,35.2,4.63,6.43,0.33,9.28,0.51
E2,2024-05-25,L2,40,60,0.281,1.41,33.22,50.0,CLUSTER_B,clay_loam,35.1,36.1,28.8,5.11,6.64,0.404,8.33,0.601
E3,2024-08-20,L1,0,20,0.268,1.29,48.08,10.0,CLUSTER_A,clay_loam,32.3,35.2,32.5,5.35,7.1,0.672,7.68,0.436
E3,2024-08-20,L1,20,40,0.293,1.31,32.34,30.0,CLUSTER_A,clay_loam,36.5,34.2,29.3,6.01,7.47,0.391,6.42,0.557
E3,2024-08-20,L1,40,60,0.297,1.38,27.04,50.0,CLUSTER_A,clay_loam,33.9,36.3,29.8,8.8,6.47,0.285,7.59,0.719
E3,2024-08-20,L2,0,20,0.252,1.27,63.6,10.0,CLUSTER_B,clay_loam,28.6,47.0,24.4,6.19,5.9,0.609,9.42,0.445
E3,2024-08-20,L2,20,40,0.27,1.31,33.3,30.0,CLUSTER_B,clay_loam,33.5,32.8,33.7,7.24,5.45,0.434,9.06,0.57
E3,2024-08-20,L2,40,60,0.255,1.35,25.47,50.0,CLUSTER_B,clay_loam,28.2,43.8,28.0,10.6,6.41,0.754,9.0,0.73
E4,2024-11-15,L1,0,20,0.303,1.34,36.76,10.0,CLUSTER_A,clay_loam,35.5,27.9,36.6,7.29,5.97,0.384,6.65,0.522
E4,2024-11-15,L1,20,40,0.264,1.3,22.35,30.0,CLUSTER_A,clay_loam,31.8,36.0,32.2,9.48,6.13,0.19,7.21,0.627
E4,2024-11-15,L1,40,60,0.298,1.35,17.1,50.0,CLUSTER_A,clay_loam,31.3,39.0,29.7,6.13,6.06,0.177,6.04,0.645
E4,2024-11-15,L2,0,20,0.315,1.36,39.23,10.0,CLUSTER_B,clay_loam,29.3,41.5,29.2,7.59,6.24,0.799,11.51,0.542
E4,2024-11-15,L2,20,40,0.31,1.3,30.66,30.0,CLUSTER_B,clay_loam,36.9,42.3,20.8,6.1,6.73,0.829,10.89,0.576
E4,2024-11-15,L2,40,60,0.303,1.33,22.05,50.0,CLUSTER_B,clay_loam,31.4,42.8,25.8,7.32,6.36,0.32,9.46,0.683
E5,2025-02-05,L1,0,20,0.165,1.3,22.2,10.0,CLUSTER_A,clay_loam,30.3,35.9,33.8,9.68,6.24,0.289,6.77,0.461
E5,2025-02-05,L1,20,40,0.164,1.32,22.63,30.0,CLUSTER_A,clay_loam,30.6,35.2,34.2,4.55,5.89,0.727,6.85,0.398
E5,2025-02-05,L1,40,60,0.173,1.39,10.11,50.0,CLUSTER_A,clay_loam,34.1,43.1,22.8,8.87,5.63,0.201,5.35,0.606
E5,2025-02-05,L2,0,20,0.186,1.32,35.05,10.0,CLUSTER_B,clay_loam,33.5,36.9,29.6,8.48,6.11,0.224,9.32,0.447
E5,2025-02-05,L2,20,40,0.187,1.36,15.35,30.0,CLUSTER_B,clay_loam,33.7,30.3,36.0,6.81,6.28,0.483,9.58,0.482
E5,2025-02-05,L2,40,60,0.171,1.39,7.45,50.0,CLUSTER_B,clay_loam,33.7,31.2,35.1,5.11,7.01,0.287,6.91,0.5
E6,2025-06-10,L1,0,20,0.287,1.41,46.99,10.0,CLUSTER_A,clay_loam,40.6,32.5,26.9,8.14,6.35,0.349,6.62,0.531
E6,2025-06-10,L1,20,40,0.251,1.39,40.82,30.0,CLUSTER_A,clay_loam,30.4,41.0,28.6,6.94,6.69,0.323,7.41,0.544
E6,2025-06-10,L1,40,60,0.272,1.28,38.49,50.0,CLUSTER_A,clay_loam,30.0,38.9,31.1,8.47,6.1,0.414,5.74,0.686
E6,2025-06-10,L2,0,20,0.252,1.41,54.32,10.0,CLUSTER_B,clay_loam,28.7,42.1,29.2,8.04,5.83,0.707,8.43,0.496
E6,2025-06-10,L2,20,40,0.275,1.34,38.63,30.0,CLUSTER_B,clay_loam,34.5,35.4,30.1,11.2,5.91,0.366,9.32,0.685
E6,2025-06-10,L2,40,60,0.245,1.29,34.77,50.0,CLUSTER_B,clay_loam,36.5,39.0,24.5,7.52,6.01,0.483,9.06,0.635
E7,2025-09-15,L1,0,20,0.277,1.42,54.9,10.0,CLUSTER_A,clay_loam,31.5,41.8,26.7,5.95,7.15,0.126,6.4,0.461
E7,2025-09-15,L1,20,40,0.275,1.35,43.62,30.0,CLUSTER_A,clay_loam,28.6,36.1,35.3,8.36,5.97,0.342,9.34,0.606
E7,2025-09-15,L1,40,60,0.325,1.32,33.94,50.0,CLUSTER_A,clay_loam,28.7,40.7,30.6,8.44,6.64,0.23,10.41,0.734
E7,2025-09-15,L2,0,20,0.272,1.37,61.38,10.0,CLUSTER_B,clay_loam,34.6,34.0,31.4,10.72,5.94,0.19,9.18,0.589
E7,2025-09-15,L2,20,40,0.295,1.34,42.44,30.0,CLUSTER_B,clay_loam,35.0,35.8,29.2,9.67,6.67,0.226,10.77,0.661
E7,2025-09-15,L2,40,60,0.289,1.36,30.27,50.0,CLUSTER_B,clay_loam,34.2,35.7,30.1,8.71,6.45,0.296,5.92,0.709
