event_code,event_label,collection_date,station_code,station_type,temp_C,pH,EC_uS_cm,TDS_mg_L,Ca_mg_L,Mg_mg_L,K_mg_L,Na_mg_L,NO3_mg_L,Cl_mg_L,SO4_mg_L,HCO3_mg_L,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil
E1,E1-DRY,2024-02-10,L1,lysimeter,26.44,6.49,269.3,176.8,25.92,9.84,4.56,14.96,9.26,18.29,24.51,162.04,7.2,13.16,-2.51,-1.69
E1,E1-DRY,2024-02-10,L2,lysimeter,27.51,6.17,264.6,185.5,29.47,11.77,5.4,15.39,20.4,17.23,23.55,139.91,7.77,8.42,-3.42,-1.69
E1,E1-DRY,2024-02-10,BH1,borehole,25.93,7.02,454.2,298.0,43.54,18.02,5.91,21.75,14.43,35.56,32.67,227.16,5.94,12.08,-1.62,-1.6
E1,E1-DRY,2024-02-10,BH2,borehole,27.02,6.87,484.5,353.3,52.76,16.37,6.34,24.79,18.55,29.96,33.0,251.79,7.54,12.55,-1.89,-1.52
E1,E1-DRY,2024-02-10,BH3,borehole,26.78,6.44,529.1,339.3,57.16,21.88,5.82,27.17,26.3,38.77,44.18,278.67,7.94,12.21,-2.73,-1.6
E1,E1-DRY,2024-02-10,BH4,borehole,28.16,6.96,629.3,439.5,66.85,23.83,7.22,30.51,28.92,44.47,51.22,272.74,7.59,11.07,0.54,-1.32
E2,E2,2024-05-25,L1,lysimeter,26.01,6.74,307.3,196.9,32.0,9.88,4.63,13.12,71.16,19.66,23.53,169.05,5.59,15.77,-14.47,-2.99
E2,E2,2024-05-25,L2,lysimeter,24.58,6.61,311.6,177.1,33.92,10.22,5.33,15.68,81.73,22.19,24.65,164.4,5.59,15.16,-14.06,-2.78
E2,E2,2024-05-25,BH1,borehole,25.49,7.11,480.4,314.1,43.53,17.53,6.25,19.88,26.65,32.2,32.16,216.36,5.37,15.65,-14.94,-3.22
E2,E2,2024-05-25,BH2,borehole,24.78,6.78,485.3,319.5,45.63,16.53,6.05,26.62,28.4,35.79,43.51,229.06,5.39,15.82,-9.56,-2.66
E2,E2,2024-05-25,BH3,borehole,25.39,7.09,588.0,358.9,59.93,18.85,6.92,26.36,38.94,40.67,46.45,296.95,6.19,17.75,-8.96,-2.53
E2,E2,2024-05-25,BH4,borehole,24.24,6.87,607.6,378.6,59.22,23.09,6.49,36.86,45.0,48.19,50.6,307.94,5.24,17.83,-11.3,-2.55
E3,E3-POST1,2024-08-20,L1,lysimeter,26.73,6.26,328.9,188.5,28.86,11.18,4.07,13.45,55.54,23.18,22.94,154.29,7.17,17.57,-14.41,-3.13
E3,E3-POST1,2024-08-20,L2,lysimeter,25.83,6.42,287.1,204.2,32.65,12.34,4.9,17.98,61.38,25.35,22.11,165.4,3.88,18.33,-14.57,-3.08
E3,E3-POST1,2024-08-20,BH1,borehole,25.72,6.74,432.4,282.1,48.68,15.93,5.89,23.82,28.53,20.91,33.78,222.39,5.7,17.8,-14.61,-3.02
E3,E3-POST1,2024-08-20,BH2,borehole,25.92,7.12,475.3,287.4,54.0,17.31,6.11,27.01,36.69,32.53,37.43,235.96,6.06,20.73,-12.39,-2.86
E3,E3-POST1,2024-08-20,BH3,borehole,25.13,6.82,532.6,375.9,53.61,19.58,6.11,31.23,47.12,38.17,42.18,263.0,5.83,14.36,-9.99,-2.45
E3,E3-POST1,2024-08-20,BH4,borehole,25.95,6.5,647.9,415.5,64.84,20.92,7.22,36.68,53.34,41.93,50.83,306.08,6.1,18.88,-14.65,-3.08
E4,E4-POST2,2024-11-15,L1,lysimeter,26.21,6.54,229.3,149.4,31.41,9.28,5.32,9.79,29.0,22.5,16.41,129.23,7.92,15.01,-0.91,-1.31
E4,E4-POST2,2024-11-15,L2,lysimeter,26.78,6.75,252.6,151.6,30.38,8.4,4.2,15.2,38.32,22.77,16.63,148.73,7.64,12.4,2.63,-1.16
E4,E4-POST2,2024-11-15,BH1,borehole,25.43,6.7,420.2,288.7,42.7,16.56,6.81,26.79,22.87,29.72,35.99,213.5,7.2,9.33,-0.51,-1.29
E4,E4-POST2,2024-11-15,BH2,borehole,25.82,6.8,462.2,221.8,53.27,17.52,6.29,24.5,32.88,28.49,35.84,228.97,8.63,14.74,1.65,-1.1
E4,E4-POST2,2024-11-15,BH3,borehole,26.81,6.19,561.7,437.0,55.89,20.57,6.16,30.9,39.17,42.69,38.73,271.02,10.69,15.68,-2.65,-1.45
E4,E4-POST2,2024-11-15,BH4,borehole,25.52,6.69,582.0,371.5,64.56,21.53,6.35,34.12,41.1,43.39,49.22,297.04,10.42,14.71,3.45,-1.08
E5,E5,2025-02-05,L1,lysimeter,26.48,6.78,250.3,142.7,25.97,9.0,3.78,11.33,21.86,19.92,22.25,153.44,6.63,13.56,-3.57,-1.71
E5,E5,2025-02-05,L2,lysimeter,25.61,6.54,259.9,185.9,34.42,12.08,5.2,12.83,43.49,19.32,27.17,155.33,7.7,11.74,-3.6,-1.49
E5,E5,2025-02-05,BH1,borehole,26.95,6.5,393.4,277.0,46.22,16.02,5.92,20.38,18.08,29.71,29.83,212.73,6.52,12.93,1.02,-1.08
E5,E5,2025-02-05,BH2,borehole,26.49,6.54,434.5,228.9,46.35,17.95,6.41,26.16,21.74,37.54,37.04,229.33,7.07,13.71,-4.32,-1.72
E5,E5,2025-02-05,BH3,borehole,26.35,7.06,500.3,305.6,53.63,21.41,6.42,30.05,29.33,45.81,34.99,287.2,7.05,8.29,-3.06,-1.77
E5,E5,2025-02-05,BH4,borehole,25.89,6.44,598.3,369.1,62.41,21.0,7.3,33.49,37.38,45.79,50.15,293.47,7.72,15.24,0.31,-1.3
E6,E6-LATE,2025-06-10,L1,lysimeter,26.86,6.46,303.1,165.1,32.83,11.07,4.51,12.02,54.3,21.33,25.44,129.74,8.18,20.6,-16.92,-3.34
E6,E6-LATE,2025-06-10,L2,lysimeter,26.66,6.42,255.0,124.1,33.93,10.88,4.98,13.25,48.21,24.04,21.46,156.3,6.26,16.46,-16.9,-3.27
E6,E6-LATE,2025-06-10,BH1,borehole,26.29,6.38,399.1,260.8,46.04,14.66,5.86,24.94,21.18,33.73,30.43,201.71,7.32,21.54,-13.35,-2.89
E6,E6-LATE,2025-06-10,BH2,borehole,25.28,6.38,499.4,315.5,43.36,18.32,5.82,28.21,28.62,31.19,33.79,231.31,9.25,17.68,-14.54,-2.88
E6,E6-LATE,2025-06-10,BH3,borehole,25.27,6.39,521.6,302.1,49.61,20.87,6.94,31.46,35.04,42.49,40.19,292.33,9.1,18.61,-10.89,-2.63
E6,E6-LATE,2025-06-10,BH4,borehole,27.56,7.38,566.4,364.5,60.73,20.88,7.82,32.46,40.46,44.79,48.62,302.16,8.53,19.97,-9.29,-2.45
E7,E7-END,2025-09-15,L1,lysimeter,25.07,6.27,276.0,177.4,29.22,9.59,3.82,12.45,67.43,23.49,26.35,123.72,5.98,16.11,-14.14,-2.89
E7,E7-END,2025-09-15,L2,lysimeter,25.64,6.67,355.3,219.2,36.91,11.76,5.01,12.87,67.98,25.56,29.35,193.07,6.21,17.78,-16.12,-3.23
