event_code,collection_date,station_code,depth_cm_top,depth_cm_bottom,soil_moisture_vwc,bulk_density_g_cm3,NO3_mg_kg
E1,2024-02-10,L1,0,20,0.153,1.39,26.93
E1,2024-02-10,L1,20,40,0.173,1.33,13.44
E1,2024-02-10,L1,40,60,0.146,1.34,7.1
E1,2024-02-10,L2,0,20,0.203,1.32,31.49
E1,2024-02-10,L2,20,40,0.181,1.41,11.54
E1,2024-02-10,L2,40,60,0.213,1.38,12.33
E2,2024-05-25,L1,0,20,0.298,1.29,60.28
E2,2024-05-25,L1,20,40,0.283,1.37,42.61
E2,2024-05-25,L1,40,60,0.3,1.27,35.04
E2,2024-05-25,L2,0,20,0.285,1.28,57.95
E2,2024-05-25,L2,20,40,0.283,1.36,38.35
E2,2024-05-25,L2,40,60,0.281,1.41,33.22
E3,2024-08-20,L1,0,20,0.268,1.29,48.08
E3,2024-08-20,L1,20,40,0.293,1.31,32.34
E3,2024-08-20,L1,40,60,0.297,1.38,27.04
E3,2024-08-20,L2,0,20,0.252,1.27,63.6
E3,2024-08-20,L2,20,40,0.27,1.31,33.3
E3,2024-08-20,L2,40,60,0.255,1.35,25.47
E4,2024-11-15,L1,0,20,0.303,1.34,36.76
E4,2024-11-15,L1,20,40,0.264,1.3,22.35
E4,2024-11-15,L1,40,60,0.298,1.35,17.1
E4,2024-11-15,L2,0,20,0.315,1.36,39.23
E4,2024-11-15,L2,20,40,0.31,1.3,30.66
E4,2024-11-15,L2,40,60,0.303,1.33,22.05
E5,2025-02-05,L1,0,20,0.165,1.3,22.2
E5,2025-02-05,L1,20,40,0.164,1.32,22.63
E5,2025-02-05,L1,40,60,0.173,1.39,10.11
E5,2025-02-05,L2,0,20,0.186,1.32,35.05
E5,2025-02-05,L2,20,40,0.187,1.36,15.35
E5,2025-02-05,L2,40,60,0.171,1.39,7.45
E6,2025-06-10,L1,0,20,0.287,1.41,46.99
E6,2025-06-10,L1,20,40,0.251,1.39,40.82
E6,2025-06-10,L1,40,60,0.272,1.28,38.49
E6,2025-06-10,L2,0,20,0.252,1.41,54.32
E6,2025-06-10,L2,20,40,0.275,1.34,38.63
E6,2025-06-10,L2,40,60,0.245,1.29,34.77
E7,2025-09-15,L1,0,20,0.277,1.42,54.9
E7,2025-09-15,L1,20,40,0.275,1.35,43.62
E7,2025-09-15,L1,40,60,0.325,1.32,33.94
E7,2025-09-15,L2,0,20,0.272,1.37,61.38
E7,2025-09-15,L2,20,40,0.295,1.34,42.44
E7,2025-09-15,L2,40,60,0.289,1.36,30.27
