sample_id,event_code,Month,Season,station_type,station_code,Latitude_x,Longitude_x,depth_cm,input_zone,pH,EC_uS_cm,Ca_mg_L,Mg_mg_L,Na_mg_L,K_mg_L,HCO3_mg_L,Cl_mg_L,SO4_mg_L,NO3_mg_L,Cations_meqL,Anions_meqL,CBE_pct,CBE_pass,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil,Latitude_y,Longitude_y,collection_date,TDS_mg_L
E1-DRY-AW1,E1-DRY,5,dry,borehole,AW1,,,,supplementary,7.26269458323194,1120.5056162163385,87.8257773334557,28.41534348953001,89.90092931642221,2.028560486751054,304.056232618751,111.60143795810951,44.599471515845885,94.30356614674233,10.683326663703832,10.580506430635271,0.4835451473513222,True,,,-12.411878343937763,-3.107061628804277,10.865,-0.895,2024-05-15,762.7313188656077
E1-DRY-AW2,E1-DRY,5,dry,borehole,AW2,,,,supplementary,6.778600253007887,1130.6533894574625,95.03941940032745,10.670147370085,69.89283977336999,4.1070578332799705,251.0060842276853,91.9531185330003,8.580782757448162,104.99007614221914,8.765955205905486,8.579292586214386,1.076160006061736,True,,,-18.477784275484996,-4.046297092871594,10.863,-0.892,2024-05-15,636.2395260374153
E1-DRY-AW3,E1-DRY,5,dry,borehole,AW3,,,,supplementary,7.094590900416288,833.9560849127632,92.41276795817544,24.5227876500357,41.00032431458952,9.842398049124546,322.2221983259961,68.84748165692838,39.23636509508932,41.55676557832128,8.664715292540384,8.709944555470868,-0.2603174008938116,True,,,-11.365026114952933,-3.061062060428874,10.861,-0.889,2024-05-15,639.6410886282603
E1-DRY-AW4,E1-DRY,5,dry,borehole,AW4,,,,supplementary,6.5559124113799685,1262.9119286078549,109.97595547377392,24.04622883347944,74.93538852457344,4.499347800497596,419.9418462601011,48.89055693816136,80.46874780063364,79.13133779530293,10.841386057322982,11.213017787800265,-1.6850681300980146,True,,,-5.943622824501837,-2.538471603230769,10.859,-0.886,2024-05-15,841.8894094265233
E1-DRY-AW5,E1-DRY,5,dry,borehole,AW5,,,,supplementary,6.616689366737084,1273.0894626508496,118.73883929348948,14.4583606352898,99.882957136944,8.031116227012703,287.58153401481684,111.68460037506962,65.93031798456255,137.6593352807169,11.665203539210744,11.456195874566248,0.903957675329796,True,,,-15.274544279665406,-3.538136197031278,10.857,-0.883,2024-05-15,843.9670609479019
E1-DRY-AW6,E1-DRY,5,dry,borehole,AW6,,,,supplementary,6.885070047105275,802.209026132784,40.417145555419786,32.46325397488707,54.17770000881416,2.8671381836163783,178.30700442362044,78.79436710160752,9.710485270690992,118.99844718185524,7.118176180186036,7.266116464265985,-1.0284849435193408,True,,,-15.758129488865109,-3.813643967698261,10.855,-0.88,2024-05-15,515.7355417005116
E1-DRY-AW7,E1-DRY,5,dry,borehole,AW7,,,,supplementary,6.821003429215812,1032.9231970284277,82.12604697516429,19.25597087432404,80.77065155012292,8.64524887568797,260.1168576443479,113.61019784004368,8.149556825514582,121.0955478857618,9.417279443717302,9.590242613249544,-0.9099722152832932,True,,,-17.603483385694872,-3.622855510640752,10.853,-0.877,2024-05-15,693.7700784709671
E1-DRY-AW8,E1-DRY,5,dry,borehole,AW8,,,,supplementary,7.434487527127611,603.6287312381667,30.65718764007349,19.5465523610843,63.65186068992044,1.8001206910787928,200.59172184095632,57.70221390669481,7.541734187155861,53.48492793337687,5.953055867063799,5.934666042911628,0.1546959484031916,True,,,-14.84980639243883,-3.703911489339137,10.851,-0.874,2024-05-15,434.97631925034085
E1-DRY-BH1,E1-DRY,5,dry,borehole,BH1,10.878,-0.915,,upgradient,7.911688876088002,834.5870425190666,96.50407237196265,25.940205255054344,34.95568628034612,7.319693734525965,253.70013869460607,109.54753799831838,47.36771490743775,48.80112295940032,8.842277976136318,9.021074287128204,-1.0009112979290815,True,5.9124586522675,7.052710536884955,-13.779243440245136,-3.4368972523163235,10.878,-0.915,2024-05-15,624.1361722016517
E1-DRY-BH2,E1-DRY,5,dry,borehole,BH2,10.875,-0.912,,downgradient,7.174620635310623,798.5723947663249,89.62990221405335,16.72683640354286,27.992624865220428,3.701878087565687,168.63536851385751,35.878595838586044,76.41123712026213,115.360606361742,7.377464012496631,7.227171939596757,1.0290709976809216,True,11.806405751307926,13.096590764466738,-10.346955633305688,-3.0510893502787297,10.875,-0.91,2024-05-15,534.33704940483
