S_No,Sample ID,Station,X coordinate,Y coordinate,Elevation,pH,EC,Temp,TDS,Na,K,Ca,Mg,F,Cl,HCO3,NO3,SO4,Fe,d18O,d2H
1,PUB1,Pungu,-1.064578,10.91264,217,6.3,387,31.8,193,65,7.7,27.2,1.83,0.278,42.49,204.96,4.64,0.003,0.021,-3.72,-20.85
2,PUB2,Pungu,-1.061465,10.91035,217,6.6,313,31.2,156,59.9,5,40,1.29,0.021,12.021,258.64,0.026,4.056,0.09975,-3.92,-21.95
3,PAB3,Paga,-1.100507,10.9661,226,6.7,672,32.5,335,66.8,18.1,59.2,5.34,0.002,19.836,351.36,20.644,23.19,0.024,-3.76,-21.95
4,PAB4,Paga,-1.09687,10.9691,226,6.9,506,33.9,253,46.4,9.4,19.2,5.97,0.368,10.074,200.08,0.021,8.697,0.000001,-3.93,-24.2
5,PAB5,Paga,-1.0955,10.969,226,6.6,511,33.6,256,46,9.1,32,5.39,0.002,5.805,244,24.253,6.436,0.000001,-4.35,-23.75
6,BAB6,Nakolo,-1.057,10.9882,182,6.4,450,34.5,225,60.8,9.1,40,2.35,0.725,6.996,287.92,30.19,5.316,0.03525,-3.29,-19.4
8,BOB8,Nakolo,-1.0555,10.998,182,7.1,457,35,228,60.6,7,32,3.23,0.398,2.904,283.04,3.979,6.07,0.165,-3.39,-22.7
9,BOW9,Nakolo,-1.05598,11.00019,182,6.8,308,31.4,154,41.7,3.9,30.4,1.36,0.287,9.848,165.92,36.457,10.409,0.0255,-3.47,-18.7
10,BOB10,Nakolo,-1.05107,10.996,182,6.7,450,32.3,225,168,12.1,40,2.8,0.035,32.934,512.4,0.012,2.093,0.075,-3.47,-22.8
12,NAB12,Nakolo,-1.0422,10.9828,182,6.8,335,31.3,168,57.5,8.9,32,2.76,1.469,6.268,263.52,11.207,3.91,0.000001,-4.03,-22.5
13,NAB13,Nakolo,-1.04079,10.9799,182,6.8,506,32.9,253,37.1,7.4,38.4,3.79,2.174,19.767,185.44,27.64,16.019,0.000001,-3.53,-22.75
14,NAB14,Nakolo,-1.03668,10.9871,182,6.7,232,31.3,116,18.7,13.8,17.6,0.95,1.6,16.128,92.72,22.061,0.063,0.000001,-4.2,-25.65
16,SAB16,Nakolo,-1.03526,10.9961,182,7.1,388,31.7,194,42.4,8.5,35.2,1.95,0.586,3.364,190.32,26.009,32.463,0.000001,-4.23,-22.2
18,PAW18,Paga,-1.11095,10.99186,226,6.7,535,30.3,267,82.1,3.5,36.8,3.49,0.825,25.179,278.16,8.503,6.75,0.000001,-3.94,-17.9
19,PAB19,Paga,-1.09916,10.96014,226,6.8,479,30.8,239,50.5,8.7,40.8,3.78,0.241,17.601,244,27.861,13.589,0.000001,-3.65,-19.4
20,BUB20,Nakolo,-1.0547,10.96602,182,6.7,331,31.5,165,36.9,8.1,36.8,0.99,1.171,16.291,180.56,34.292,5.37,0.000001,-3.96,-22.9
21,BUW21,Nakolo,-1.04913,10.9663,182,6.7,441,29.5,221,59.3,17.1,44,0.72,0.045,8.084,258.64,19.268,17.291,0.000001,-3.96,-18.7
22,BKB22,Nakolo,-1.0463,10.9632,182,6.8,321,32.4,160,50.4,9.3,28.8,1.68,0.179,12.79,214.72,29.286,3.063,0.000001,-3.52,-21.8
23,BKB23,Nakolo,-1.04424,10.95587,182,6.6,358,32.4,178,56.6,9.9,35.2,1.45,2.069,5.724,273.28,10.395,8.671,0.000001,0.64,-4.2
26,NTB26,Nakolo,-1.02729,10.9834,182,7.1,363,32,182,48.5,7.8,28.8,1.59,0.035,30.164,190.32,0.947,2.189,0.000001,-3.58,-17.95
27,NTB27,Nakolo,-1.02364,10.9739,182,6.8,352,31.5,176,82.1,6,35.2,0.99,0.001,11.779,341.6,0.004,0.002,0.000001,-4.07,-22.95
29,NTB29,Nakolo,-1.02247,10.97968,182,6.7,350,33.1,175,65.1,5,30.4,1.8,0.105,36.049,234.24,1.048,2.179,0.015,-3.95,-22.15
30,TBB30,Nakolo,-1.017063,10.9739,182,7.1,308,31.9,154,47.5,7,28.8,1.57,0.213,23.8,200.08,1.047,3.682,0.000001,-4.1,-22.5
31,TBB31,Nakolo,-1.011792,10.9777,182,7.3,424,32.2,212,58.1,12.2,42.4,2.42,0.036,37.918,219.6,27.012,1.989,0.000001,-4.32,-23.6
