Number,Town,Code,Latitude,Longitude,Elevation,EC,TDS,Sal,pH,Eh,Temp,HCO3,Na,K,Ca,Mg,Cl,SO4,NO3,Fe,d18O,d2H
1,Gbeogo,TGW1,10.708653,0.81529,217,244.2,122.2,0.11,6.5,22.4,32.1,110,20.6,2.12,4.89,1.38,15.99,4,20.5,0.034,-3.066666667,-19.47333333
2,Tongu,TGW2,10.70877,0.80895,222,388.6,194.6,0.18,6.9,-6.5,32.3,196,22.82,8.42,14.68,3.57,29.99,8,9.19,0.0692,-3.835,-20.875
3,Tenzug,TGW3,10.6741,0.8132,291,450.6,225.5,0.21,6.7,2.1,28.5,102,34.94,4.66,17.49,4.67,27.98,9,43.29,0.0224,-3.52,-18.995
4,Tamboug,TGW4,10.68591,0.80667,279,517.7,258.1,0.25,6.8,4.5,28.2,150,42.8,9.89,16.87,2.34,30.98,8,61.18,0.0212,-3.485,-18.71
5,Wakii,TGW5,10.6955,0.80577,250,352.2,175.9,0.17,6.7,7.8,28.7,82,20.41,5.84,12.44,7.01,17.99,5,45.74,0.0318,-3.715,-19.245
6,Gung,TGW6,10.70966,0.80603,209,253.1,125.3,0.12,6.6,13.5,28.5,90,18.09,1.62,7.64,5.06,15.99,1,43.87,0.0423,-3.57,-18.115
7,Tongo,TGW7,10.70856,0.79862,200,487.5,243.4,0.23,6.5,14.5,29.5,106,40.22,2.08,16.87,3.79,37.98,12,69.56,0.0507,-3.79,-19.14
8,Tongo Zooga,TGW8,10.71062,0.78766,185,442.1,220.8,0.21,6.7,10.2,29.9,230,34.02,3.08,20.08,6.23,29.99,5,40.94,0.0345,-3.365,-17.91
9,Wuug,TGW9,10.69303,0.76163,182,678.9,339,0.33,7.2,-19.1,31,330,25.85,8.54,32.44,15.67,21.99,4,77.08,0.049,4.476666667,3.963333333
10,Gatusi,TGW10,10.70677,0.77264,200,527.7,263.9,0.25,6.9,-7.1,30.7,240,24.04,1.86,27.72,5.23,17.99,4,72.13,0.0686,-3.453333333,-18.44666667
11,Zuo,TGW11,10.71173,0.78293,199,395.1,197.2,0.19,6.9,-4.9,28.6,204,21.82,2.05,14.69,8.99,17.99,5,13.44,0.0642,-3.59,-19.665
12,Yamerigu,TGW12,10.71764,0.76237,186,455.3,227.2,0.22,6.7,9.7,28.1,280,29.54,1.04,13.29,4.28,15.99,2,54.81,0.0224,-2.915,-17.305
13,Shega,TGW13,10.7225,0.72023,197,532.5,266.4,0.25,6.8,-2,30.1,156,17.4,8.08,19.69,8.65,33.98,15,62.76,0.0728,-3.245,-18.445
14,Yinapaal,TGW14,10.67757,0.70222,173,567.8,283.9,0.27,6.5,21.4,31.2,344,24.82,7.54,20.12,8.63,33.99,2,27.4,0.0213,-3.44,-19.33
15,Biung,TGW15,10.61943,0.66504,175,692.8,346.5,0.33,6.6,14.7,32.3,370,28.64,2.86,28.94,7.87,17.99,1,31.82,0.0626,-3.3,-20.115
16,Gbani Obuasi,TGW16,10.68907,0.67801,180,725.9,363.3,0.35,7.6,-13.6,33.3,434,30.02,6.02,35.27,13.48,19.99,2,27.4,0.0487,-3.85,-19.89
17,Shiega,TGW17,10.72002,0.71483,189,411.8,205.8,0.19,7.4,-38.8,33.1,174,22.28,1.75,21.68,15.52,25.99,2,27.93,0.0352,-3.24,-19.17
18,Gbani,TGW18,10.72554,0.70369,207,157.8,78.71,0.07,7.5,-34.9,33.5,250,12.71,1.13,7.69,1.97,13.99,1,14.14,0.0626,-3.52,-19.615
19,Yali community,TGW19,10.72153,0.67544,180,567.2,283.7,0.27,6.8,-5.7,32.2,332,25.53,2.95,21.33,7.98,39.99,4,18.56,0.0502,-3.5,-22.935
20,Datoku,TGW20,10.71885,0.6541,178,698.9,350.1,0.34,7.4,-38.5,32.7,364,26.16,6.8,31.43,2.09,17.99,15,9.55,0.0499,-2.665,-20.455
21,Datoku,TGW21,10.70899,0.64385,193,501.1,250.5,0.24,7.5,-57.6,32.1,260,36.32,3.34,17.72,5.01,29.99,2,13.44,0.0231,-3.315,-21.035
22,Kolpeliga,TGW22,10.73763,0.64002,218,332,165.9,0.16,7.3,-42.4,32.6,150,21.96,1.41,10.46,6.67,15.99,4,53.57,0.0526,-3.815,-22.715
